Nr Code,Variable Name,Is TT,LV Match,LV Text,EN Match,EN Text,Consensus Vote,Consensus Text,Consensus Reasoning,Include
NR36,Stikls - Tonēts ar privātuma aizsardzību aizmugurē,N,No,,No,,No (0Y/0M/3N),,No mention of tinted glass with privacy protection at the rear in the specification text.; There is no mention of tinted glass with privacy protection in the specification text.; There is no mention of tinted glass with privacy protection in the rear.,☐
NR37,Apsildāms vējstikls,N,No,,No,,No (0Y/0M/3N),,No mention of a heated windshield in the specification text.; The specification text does not mention a heated windshield.; The specification text does not mention a heated windshield.,☐
NR38,Bagāžnieka durvis - Elektriskas,N,No,,No,,No (0Y/0M/3N),,No mention of electric tailgate in the specification text.; There is no mention of electric tailgate doors in the specification text.; The specification text does not mention electric tailgate doors.,☐
NR39,Bagāžnieka durvis - Elektriskas ar bezroku vadību,N,No,,No,,No (0Y/0M/3N),,No mention of electric tailgate with hands-free control in the specification text.; The specification text does not mention electric tailgate doors with hands-free operation.; There is no mention of electric tailgate doors with hands-free operation.,☐
NR40,Jumta sliedes,N,No,,No,,No (0Y/0M/3N),,No mention of roof rails in the specification text.; There is no mention of roof rails in the specification text.; The specification text does not mention roof rails.,☐
NR41,Priekšējais bagāžnieks,N,No,,No,,No (0Y/0M/3N),,No mention of a front trunk in the specification text.; There is no mention of a front trunk in the specification text.; There is no mention of a front trunk.,☐
NR42,Panorāmas jumts,N,No,,No,,No (0Y/0M/3N),,No mention of a panoramic roof in the specification text.; There is no mention of a panoramic roof in the specification text.; The specification text does not mention a panoramic roof.,☐
NR43,Ārējais Izskats -  Apgaismojums,Y,,,,,,,,
NR44,Dienas gaitas lukturi - LED,N,Yes,LED dienas apgaismojuma lukturi,Yes,LED dienas apgaismojuma lukturi,Yes (3Y/0M/0N),LED dienas apgaismojuma lukturi,"The specification mentions ""LED dienas apgaismojuma lukturi,"" which translates to LED daytime running lights.; The specification text mentions ""LED dienas apgaismojuma lukturi,"" which translates to LED daytime running lights.; The text mentions ""LED dienas apgaismojuma lukturi,"" which are LED daytime running lights.",☑
NR45,Priekšējie miglas lukturi - LED,N,No,,No,,No (0Y/0M/3N),,No mention of LED front fog lights in the specification text.; There is no mention of LED front fog lights in the specification text.; The specification text does not mention LED front fog lights.,☐
NR46,Priekšējie miglas lukturi – LED integrēti,N,No,,No,,No (0Y/0M/3N),,No mention of LED integrated front fog lights in the specification text.; There is no mention of integrated LED front fog lights in the specification text.; The specification text does not mention integrated LED front fog lights.,☐
NR47,Priekšējo lukturu vadība – automātiska,N,Yes,Inteliģentie automātiskie priekšējie lukturi,Yes,Inteliģentie automātiskie priekšējie lukturi,Maybe (2Y/1M/0N),Inteliģentie automātiskie priekšējie lukturi,"The specification mentions ""Inteliģentie automātiskie priekšējie lukturi,"" which translates to intelligent automatic front lights.; The specification text includes ""Inteliģentie automātiskie priekšējie lukturi,"" indicating automatic headlight control.; The text mentions ""Inteliģentie automātiskie priekšējie lukturi,"" which could imply automatic headlight control, but it's not explicitly stated.",☑
NR48,Priekšējo lukturu vadība – automātiska augsta/zema gaisma,N,No,,No,,No (0Y/0M/3N),,No mention of automatic high/low beam control in the specification text.; There is no mention of automatic high/low beam control in the specification text.; The specification text does not mention automatic high/low beam control.,☐
NR49,Priekšējie lukturi – LED,N,Yes,LED priekšējie lukturi,Yes,LED priekšējie lukturi,Yes (3Y/0M/0N),LED priekšējie lukturi,"The specification mentions ""LED priekšējie lukturi,"" which translates to LED front lights.; The specification text mentions ""LED priekšējie lukturi,"" which translates to LED front lights.; The text mentions ""LED priekšējie lukturi,"" which are LED front lights.",☑
NR50,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,N,No,,No,,No (0Y/0M/3N),,No mention of adaptive LED lights without Matrix or Glare Free in the specification text.; There is no mention of adaptive LED headlights without Matrix or Glare Free in the specification text.; The specification text does not mention adaptive LED headlights without Matrix or Glare Free.,☐
NR51,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,N,No,,No,,No (0Y/0M/3N),,No mention of adaptive LED lights with Matrix or Glare Free in the specification text.; There is no mention of adaptive LED headlights with Matrix or Glare Free in the specification text.; The specification text does not mention adaptive LED headlights with Matrix or Glare Free.,☐
NR52,Interjers – Komforts/Ērtības,Y,,,,,,,,
NR53,Gaisa kondicionētājs,N,Yes,Automātiskā gaisa kondicionēšanas sistēma,Yes,Automātiskā gaisa kondicionēšanas sistēma,Yes (3Y/0M/0N),Automātiskā gaisa kondicionēšanas sistēma,"The specification mentions ""Automātiskā gaisa kondicionēšanas sistēma,"" which translates to automatic air conditioning system.; The specification text mentions ""Automātiskā gaisa kondicionēšanas sistēma,"" indicating an automatic air conditioning system.; The text mentions ""Automātiskā gaisa kondicionēšanas sistēma,"" which is an automatic air conditioning system.",☑
NR54,Gaisa kondicionētājs – EATC 2 zonas,N,No,,No,,No (0Y/0M/3N),,No mention of EATC 2-zone air conditioning in the specification text.; There is no mention of a 2-zone EATC air conditioning system in the specification text.; The specification text does not mention EATC 2-zone air conditioning.,☐
NR55,Gaisa kondicionētājs – EATC 3 zonas,N,No,,No,,No (0Y/0M/3N),,No mention of EATC 3-zone air conditioning in the specification text.; There is no mention of a 3-zone EATC air conditioning system in the specification text.; The specification text does not mention EATC 3-zone air conditioning.,☐
NR56,Salona gaisa attīrītājs,N,No,,No,,No (0Y/0M/3N),,No mention of an air purifier in the cabin in the specification text.; There is no mention of a cabin air purifier in the specification text.; There is no mention of an air purifier in the specification text.,☐
NR57,Apgaismojums – salons ar daudzkrāsu LED,N,No,,No,,No (0Y/0M/3N),,No mention of multi-color LED interior lighting in the specification text.; There is no mention of multi-color LED interior lighting in the specification text.; The specification text does not mention multi-color LED interior lighting.,☐
NR58,Centrālā konsole ar roku balstu,N,Maybe,Priekšējais elkoņbalsts,Yes,Priekšējais elkoņbalsts,Maybe (2Y/0M/1N),Priekšējais elkoņbalsts,"The specification mentions ""Priekšējais elkoņbalsts,"" which translates to front armrest, implying a central console with armrest.; The specification text mentions ""Priekšējais elkoņbalsts,"" which translates to front armrest, indicating a central console with armrest.; The specification text does not mention a central console with an armrest.",☑
NR59,Automātiski tumšojams salona spogulis,N,No,,No,,No (0Y/0M/3N),,No mention of an automatically dimming interior mirror in the specification text.; There is no mention of an automatically dimming interior mirror in the specification text.; The specification text does not mention an automatically dimming interior mirror.,☐
NR60,12 V bagāžas nodalījumā,N,No,,No,,No (0Y/0M/3N),,No mention of a 12 V socket in the luggage compartment in the specification text.; There is no mention of a 12V outlet in the luggage compartment in the specification text.; There is no mention of a 12V outlet in the luggage compartment.,☐
NR61,Bezvadu uzlāde,N,No,,No,,No (0Y/0M/3N),,No mention of wireless charging in the specification text.; There is no mention of wireless charging in the specification text.; The specification text does not mention wireless charging.,☐
NR62,Interjers – In car entertainment/komunikācijas,Y,,,,,,,,
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 7,9""",N,Yes,"7"" krāsains modernais autovadītāja braukšanas palīgsistēmu (ADAD) displejs mērinstrumentu panelī",Yes,"12,3"" skārienekrāns",Yes (3Y/0M/0N),"12,3"" skārienekrāns","The specification mentions ""12,3"" skārienekrāns,"" which translates to a 12.3"" touch screen, fitting within the 6 - 7.9"" range.; The specification text mentions a ""12,3"" skārienekrāns,"" which translates to a 12.3"" touchscreen, covering the 6 - 7.9"" range.; The text mentions a 7"" display, which falls within the 6 - 7.9"" range for a multifunctional touchscreen.",☑
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 9,9""",N,No,,No,,No (0Y/0M/3N),,"No mention of a multifunctional touchscreen in the 8 - 9.9"" range in the specification text.; There is no mention of an 8 - 9.9"" multifunctional touchscreen in the specification text.; The specification text does not mention a multifunctional touchscreen in the 8 - 9.9"" range.",☐
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 11,9""",N,No,,No,,No (0Y/0M/3N),,"No mention of a multifunctional touchscreen in the 10 - 11.9"" range in the specification text.; There is no mention of a 10 - 11.9"" multifunctional touchscreen in the specification text.; The specification text does not mention a multifunctional touchscreen in the 10 - 11.9"" range.",☐
NR66,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,N,Yes,"12,3"" skārienekrāns",No,,Maybe (2Y/1M/0N),"12,3"" skārienekrāns","The specification mentions ""12,3"" skārienekrāns,"" which translates to a 12.3"" touch screen, fitting within the 12+"" range.; The specification text mentions a ""12,3"" skārienekrāns,"" which translates to a 12.3"" touchscreen.; The text mentions a 12.3"" touchscreen, which could be part of a multifunctional system, but it's not explicitly stated.",☑
NR67,Zīmola audio sistēma,N,No,,No,,No (0Y/0M/3N),,No mention of a branded audio system in the specification text.; There is no mention of a branded audio system in the specification text.; The specification text does not mention a branded audio system.,☐
NR68,Navigācijas centrs,N,No,,No,,No (0Y/0M/3N),,No mention of a navigation center in the specification text.; There is no mention of a navigation center in the specification text.; The specification text does not mention a navigation center.,☐
NR69,Navigācijas centrs - savienots,N,No,,No,,No (0Y/0M/3N),,No mention of a connected navigation center in the specification text.; There is no mention of a connected navigation center in the specification text.; The specification text does not mention a connected navigation center.,☐
NR70,Android Auto un Apple CarPlay,N,No,,Yes,Bezvadu Apple Car Play 3) Bezvadu Android Auto,Yes (3Y/0M/0N),Bezvadu Apple Car Play 3) Bezvadu Android Auto,"The specification mentions ""Bezvadu Apple Car Play 3) Bezvadu Android Auto,"" which translates to wireless Apple CarPlay and Android Auto.; The specification text mentions ""Bezvadu Apple Car Play 3) Bezvadu Android Auto,"" indicating support for Android Auto and Apple CarPlay.; The text mentions both Apple CarPlay and Android Auto being wireless.",☑
NR71,Android Auto un Apple CarPlay - bezvadu,N,Yes,Bezvadu Apple Car Play 3) Bezvadu Android Auto,Yes,Bezvadu Apple Car Play 3) Bezvadu Android Auto,Yes (3Y/0M/0N),Bezvadu Apple Car Play 3) Bezvadu Android Auto,"The specification mentions ""Bezvadu Apple Car Play 3) Bezvadu Android Auto,"" which translates to wireless Apple CarPlay and Android Auto.; The specification text mentions ""Bezvadu Apple Car Play 3) Bezvadu Android Auto,"" indicating wireless Android Auto and Apple CarPlay.; The text confirms wireless Apple CarPlay and Android Auto.",☑
NR72,Vieds palīgs ar AI,N,No,,No,,No (0Y/0M/3N),,No mention of a smart assistant with AI in the specification text.; There is no mention of an AI smart assistant in the specification text.; The specification text does not mention a smart assistant with AI.,☐
NR73,Head - Up displejs,N,No,,No,,No (0Y/0M/3N),,No mention of a head-up display in the specification text.; There is no mention of a head-up display in the specification text.; There is no mention of a head-up display in the specification text.,☐
NR74,Interjers -  Instrumenti/Vadības Elementi,Y,,,,,,,,
NR75,Apsildāms stūres rats,N,No,,No,,No (0Y/0M/3N),,No mention of a heated steering wheel in the specification text.; There is no mention of a heated steering wheel in the specification text.; The specification text does not mention a heated steering wheel.,☐
NR76,Ādas stūres rats,N,No,,No,,No (0Y/0M/3N),,No mention of a leather steering wheel in the specification text.; There is no mention of a leather steering wheel in the specification text.; The specification text does not mention a leather steering wheel.,☐
NR77,"Digitālais displejs – līdz 8,9""",N,No,,No,,Maybe (1Y/0M/2N),"7"" krāsains modernais autovadītāja braukšanas palīgsistēmu (ADAD) displejs mērinstrumentu panelī","The specification mentions ""7"" krāsains modernais autovadītāja braukšanas palīgsistēmu (ADAD) displejs mērinstrumentu panelī,"" which translates to a 7"" color modern driver assistance display in the instrument panel.; There is no mention of a digital display up to 8.9"" in the specification text.; There is no mention of a digital display up to 8.9"" in the specification text.",☑
NR78,"Digitālais displejs 9“ - 11,9”",N,No,,No,,No (0Y/0M/3N),,"No mention of a digital display in the 9 - 11.9"" range in the specification text.; There is no mention of a 9"" - 11.9"" digital display in the specification text.; There is no mention of a digital display in the 9“ - 11.9” range.",☐
NR79,"Digitālais displejs 12+""",N,Yes,"12,3"" skārienekrāns",No,,Yes (3Y/0M/0N),"12,3"" skārienekrāns","The specification mentions ""12,3"" skārienekrāns,"" which translates to a 12.3"" touch screen, fitting within the 12+"" range.; The specification text mentions a ""12,3"" skārienekrāns,"" which covers the 12+"" digital display category.; The text mentions a 12.3"" screen, which qualifies as a digital display 12+"".",☑
NR80,Interjers -  Sēdekļi,Y,,,,,,,,
NR81,Apsildāms vadītāja sēdeklis,N,Yes,Apsildāmi priekšējie sēdekļi,Yes,Apsildāmi priekšējie sēdekļi,Yes (3Y/0M/0N),Apsildāmi priekšējie sēdekļi,"The specification mentions ""Apsildāmi priekšējie sēdekļi,"" which translates to heated front seats.; The specification text mentions ""Apsildāmi priekšējie sēdekļi,"" indicating heated front seats, which includes the driver's seat.; The text mentions heated front seats, which includes the driver's seat.",☑
NR82,Apsildāms pasažiera sēdeklis,N,Yes,Apsildāmi priekšējie sēdekļi,Yes,Apsildāmi priekšējie sēdekļi,Yes (3Y/0M/0N),Apsildāmi priekšējie sēdekļi,"The specification mentions ""Apsildāmi priekšējie sēdekļi,"" which translates to heated front seats.; The specification text mentions ""Apsildāmi priekšējie sēdekļi,"" indicating heated front seats, which includes the passenger seat.; The text mentions heated front seats, which includes the passenger's seat.",☑
NR83,Apsildāmi aizmugurējie sēdekļi,N,No,,No,,No (0Y/0M/3N),,No mention of heated rear seats in the specification text.; There is no mention of heated rear seats in the specification text.; The specification text does not mention heated rear seats.,☐
NR84,Vadītāja sēdekļa jostasvietas regulēšana manuāli,N,No,,No,,No (0Y/0M/3N),,No mention of manual lumbar adjustment for the driver's seat in the specification text.; There is no mention of manual lumbar adjustment for the driver's seat in the specification text.; The specification text does not mention manual lumbar adjustment for the driver's seat.,☐
NR85,Pasažiera sēdekļa jostasvietas regulēšana manuāli,N,No,,No,,No (0Y/0M/3N),,No mention of manual lumbar adjustment for the passenger's seat in the specification text.; There is no mention of manual lumbar adjustment for the passenger's seat in the specification text.; The specification text does not mention manual lumbar adjustment for the passenger's seat.,☐
NR86,Vadītāja sēdekļa jostasvietas regulēšana elektriski,N,No,,No,,No (0Y/0M/3N),,No mention of electric lumbar adjustment for the driver's seat in the specification text.; There is no mention of electric lumbar adjustment for the driver's seat in the specification text.; The specification text does not mention electric lumbar adjustment for the driver's seat.,☐
NR87,Pasažiera sēdekļa jostasvietas regulēšana elektriski,N,No,,No,,No (0Y/0M/3N),,No mention of electric lumbar adjustment for the passenger's seat in the specification text.; There is no mention of electric lumbar adjustment for the passenger's seat in the specification text.; The specification text does not mention electric lumbar adjustment for the passenger's seat.,☐
NR88,Elektriski regulējams vadītāja sēdeklis,N,No,,No,,No (0Y/0M/3N),,No mention of an electrically adjustable driver's seat in the specification text.; There is no mention of an electrically adjustable driver's seat in the specification text.; The specification text does not mention an electrically adjustable driver's seat.,☐
NR89,Elektriski regulējams pasažiera sēdeklis,N,No,,No,,No (0Y/0M/3N),,No mention of an electrically adjustable passenger's seat in the specification text.; There is no mention of an electrically adjustable passenger's seat in the specification text.; The specification text does not mention an electrically adjustable passenger's seat.,☐
NR90,Elektriski regulējams vadītāja sēdeklis ar atmiņu,N,No,,No,,No (0Y/0M/3N),,No mention of an electrically adjustable driver's seat with memory in the specification text.; There is no mention of an electrically adjustable driver's seat with memory in the specification text.; The specification text does not mention a driver's seat with memory function.,☐
NR91,Elektriski regulējams pasažiera sēdeklis ar atmiņu,N,No,,No,,No (0Y/0M/3N),,No mention of an electrically adjustable passenger's seat with memory in the specification text.; There is no mention of an electrically adjustable passenger's seat with memory in the specification text.; The specification text does not mention a passenger's seat with memory function.,☐
NR92,Sēdekļu apdare – audums/sintētiskā āda,N,Maybe,Monoformas sporta stila sēdekļi ar melnu auduma apdari,Yes,Monoformas sporta stila sēdekļi ar melnu auduma apdari,Maybe (1Y/0M/2N),Monoformas sporta stila sēdekļi ar melnu auduma apdari,"No mention of fabric/synthetic leather upholstery in the specification text.; There is no mention of fabric/synthetic leather seat upholstery in the specification text.; The text mentions seats with black fabric upholstery, indicating fabric upholstery.",☑
NR93,Sēdekļu apdare – Alcantara/sintētiskā āda,N,No,,No,,No (0Y/0M/3N),,No mention of Alcantara/synthetic leather upholstery in the specification text.; There is no mention of Alcantara/synthetic leather seat upholstery in the specification text.; The specification text does not mention Alcantara or synthetic leather upholstery.,☐
NR94,Sēdekļu apdare – sintētiskā āda,N,No,,No,,No (0Y/0M/3N),,No mention of synthetic leather upholstery in the specification text.; There is no mention of synthetic leather seat upholstery in the specification text.; The specification text does not mention synthetic leather upholstery.,☐
NR95,Interjers – Vadītāja Palīdzības Tehnoloģijas,Y,,,,,,,,
NR96,Automātiskā stāvvietas sistēma,N,No,,No,,No (0Y/0M/3N),,No mention of an automatic parking system in the specification text.; There is no mention of an automatic parking system in the specification text.; The specification text does not mention an automatic parking system.,☐
NR97,Aklā zona uzraudzība,N,No,,No,,No (0Y/0M/3N),,No mention of blind spot monitoring in the specification text.; There is no mention of blind spot monitoring in the specification text.; The specification text does not mention blind spot monitoring.,☐
NR98,Aklā zona uzraudzība ar šķērssatiksmes brīdinājumu,N,No,,No,,No (0Y/0M/3N),,No mention of blind spot monitoring with cross-traffic alert in the specification text.; There is no mention of blind spot monitoring with cross-traffic alert in the specification text.; The specification text does not mention blind spot monitoring with cross-traffic alert.,☐
NR99,Kruīza Kontrole,Y,,,,,,,,
NR100,Kruīza kontrole - adaptīva,N,No,,No,,No (0Y/0M/3N),,No mention of adaptive cruise control in the specification text.; There is no mention of adaptive cruise control in the specification text.; The specification text does not mention adaptive cruise control.,☐
NR101,Kruīza kontrole - adaptīva Stop&Go,N,No,,No,,No (0Y/0M/3N),,No mention of adaptive cruise control with Stop&Go in the specification text.; There is no mention of adaptive cruise control with Stop&Go in the specification text.; The specification text does not mention adaptive cruise control with Stop&Go.,☐
NR102,Kruīza kontrole - adaptīva satiksmes sastrēgumos,N,No,,No,,No (0Y/0M/3N),,No mention of adaptive cruise control in traffic jams in the specification text.; There is no mention of adaptive cruise control for traffic jams in the specification text.; The specification text does not mention adaptive cruise control for traffic jams.,☐
NR103,"Kruīza kontrole - adaptīva, balstīta uz navigācijas sistēmu",N,No,,No,,No (0Y/0M/3N),,No mention of adaptive cruise control based on navigation in the specification text.; There is no mention of adaptive cruise control based on navigation in the specification text.; The specification text does not mention adaptive cruise control based on navigation.,☐
NR104,Joslas centrs un apdzīšanas palīgs,N,No,,No,,No (0Y/0M/3N),,No mention of lane centering and overtaking assistance in the specification text.; There is no mention of lane centering or overtaking assist in the specification text.; The specification text does not mention lane centering or overtaking assist.,☐
NR105,Kamera - priekšējais 360° skats,N,No,,No,,No (0Y/0M/3N),,No mention of a front 360° camera view in the specification text.; There is no mention of a front 360° camera view in the specification text.; The specification text does not mention a front 360° camera view.,☐
NR106,Kamera - aizmugures skats,N,Yes,Atpakaļskata kamera,Yes,Atpakaļskata kamera,Yes (3Y/0M/0N),Atpakaļskata kamera,"The specification mentions ""Atpakaļskata kamera,"" which translates to rearview camera.; The specification text mentions ""Atpakaļskata kamera,"" which translates to rearview camera.; The text mentions a rearview camera.",☑
NR107,Parkošanās palīgsistēma - priekšējie sensori,N,No,,No,,No (0Y/0M/3N),,No mention of front parking sensors in the specification text.; There is no mention of front parking sensors in the specification text.; The specification text does not mention front parking sensors.,☐
NR108,Parkošanās palīgsistēma - aizmugures sensori,N,No,,No,,No (0Y/0M/3N),,No mention of rear parking sensors in the specification text.; There is no mention of rear parking sensors in the specification text.; The specification text does not mention rear parking sensors.,☐
NR109,Mehānika -  Šasija,Y,,,,,,,,
NR110,AEBS ar gājēju un velosipēdistu atpazīšanu,N,Yes,Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,Yes,Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,Yes (3Y/0M/0N),Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,"The specification mentions ""Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,"" which translates to an intelligent emergency braking system with pedestrian and cyclist recognition.; The specification text mentions ""Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,"" which translates to intelligent emergency braking system with pedestrian and cyclist recognition.; The text mentions an intelligent emergency braking system with pedestrian and cyclist recognition.",☑
NR111,AEBS ar gājēju atpazīšanu,N,No,,No,,No (0Y/2M/1N),Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,"No specific mention of AEBS with pedestrian recognition only in the specification text.; The specification text mentions a system with pedestrian and cyclist recognition, which may include pedestrian-only recognition.; The text mentions pedestrian and cyclist recognition, which implies pedestrian recognition but is not exclusive.",☐
NR112,Sadursmes mīkstināšana - pēc sadursmes,N,No,,No,,No (0Y/0M/3N),,No mention of collision mitigation post-collision in the specification text.; There is no mention of post-collision mitigation in the specification text.; The specification text does not mention post-collision mitigation.,☐
NR113,Stāvvietas bremze - elektriska,N,Yes,Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,Yes,Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,Yes (3Y/0M/0N),Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,"The specification mentions ""Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,"" which translates to an electronic handbrake with automatic parking brake function.; The specification text mentions ""Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,"" indicating an electric parking brake.; The text mentions an electronic handbrake with automatic parking brake function.",☑
NR114,Mehānika -  Riteņi/Riepas,Y,,,,,,,,
NR115,"17"" tērauda riteņi",N,Yes,"17"" tērauda diski, Sakura",Yes,"17"" tērauda diski, Sakura",Yes (3Y/0M/0N),"17"" tērauda diski, Sakura","The specification mentions ""17"" tērauda diski, Sakura,"" which translates to 17"" steel wheels, Sakura.; The specification text mentions ""17"" tērauda diski, Sakura,"" which translates to 17"" steel wheels.; The text mentions 17"" steel wheels.",☑
NR116,"17"" vieglmetāla riteņi",N,No,,No,,No (0Y/0M/3N),,"No mention of 17"" alloy wheels in the specification text.; There is no mention of 17"" alloy wheels in the specification text.; The specification text does not mention 17"" alloy wheels.",☐
NR117,"18"" tērauda riteņi",N,No,,No,,No (0Y/0M/3N),,"No mention of 18"" steel wheels in the specification text.; There is no mention of 18"" steel wheels in the specification text.; The specification text does not mention 18"" steel wheels.",☐
NR118,"18"" vieglmetāla riteņi",N,No,,No,,No (0Y/0M/3N),,"No mention of 18"" alloy wheels in the specification text.; There is no mention of 18"" alloy wheels in the specification text.; The specification text does not mention 18"" alloy wheels.",☐
NR119,"19"" tērauda riteņi",N,No,,No,,No (0Y/0M/3N),,"No mention of 19"" steel wheels in the specification text.; There is no mention of 19"" steel wheels in the specification text.; The specification text does not mention 19"" steel wheels.",☐
NR120,"19"" vieglmetāla riteņi",N,No,,No,,No (0Y/0M/3N),,"No mention of 19"" alloy wheels in the specification text.; There is no mention of 19"" alloy wheels in the specification text.; The specification text does not mention 19"" alloy wheels.",☐
NR121,"20"" tērauda riteņi",N,No,,No,,No (0Y/0M/3N),,"No mention of 20"" steel wheels in the specification text.; There is no mention of 20"" steel wheels in the specification text.; The specification text does not mention 20"" steel wheels.",☐
NR122,"20"" vieglmetāla riteņi",N,No,,No,,No (0Y/0M/3N),,"No mention of 20"" alloy wheels in the specification text.; There is no mention of 20"" alloy wheels in the specification text.; The specification text does not mention 20"" alloy wheels.",☐
NR123,Rezerves ritenis,N,No,,No,,No (0Y/0M/3N),,No mention of a spare wheel in the specification text.; There is no mention of a spare wheel in the specification text.; The specification text does not mention a spare wheel.,☐
NR124,Piekabes āķis,N,No,,No,,No (0Y/0M/3N),,No mention of a trailer hitch in the specification text.; There is no mention of a tow bar in the specification text.; The specification text does not mention a tow hook.,☐
NR125,Drošība Un Aizsardzība,Y,,,,,,,,
NR126,Gaisa spilveni - ceļgaliem vai centrā,N,No,,No,,No (0Y/0M/3N),,No mention of knee or center airbags in the specification text.; There is no mention of knee or center airbags in the specification text.; The specification text does not mention knee or center airbags.,☐
NR127,Gaisa spilveni - aizkari,N,Yes,"Autovadītāja un pasažiera gaisa drošības spilveni, sānu un aizkarveida gaisa drošības spilveni",Yes,"Autovadītāja un pasažiera gaisa drošības spilveni, sānu un aizkarveida gaisa drošības spilveni",Yes (3Y/0M/0N),"Autovadītāja un pasažiera gaisa drošības spilveni, sānu un aizkarveida gaisa drošības spilveni","The specification mentions ""Autovadītāja un pasažiera gaisa drošības spilveni, sānu un aizkarveida gaisa drošības spilveni,"" which translates to driver and passenger airbags, side and curtain airbags.; The specification text mentions ""aizkarveida gaisa drošības spilveni,"" indicating curtain airbags.; The text mentions curtain airbags.",☑
