=== LEARNING STATS ===
{
  "learned_features": 30,
  "learned_patterns": 4,
  "negative_examples": 2,
  "covered_codes": 30
}

=== CONSENSUS ATTEMPT 1 ===
NR25: Yes | "220V elektrības padeves sistēma (V2L)" | The specification text explicitly mentions a "220V elektrības padeves sistēma (V2L)", which confirms the presence of the V2L function.
NR57: Yes | "Ambient daudzkrāsu salona apgaismojums" | The text confirms multi-color interior LED lighting.

NR58: Yes | "Priekšējais centrālais roku balsts ar glāžu turētājiem" | The text confirms a central console with an armrest.

NR59: Yes | "Automātiski aptumšojošs atpakaļskata spogulis" | The text confirms an automatically dimming interior mirror.

NR60: No | | The specification text does not mention a 12V outlet in the luggage compartment.

NR61: Yes | "2 bezvadu viedtālruņu uzlāde" | The text confirms wireless charging capability.

NR63: No | | The specification text does not mention a multifunctional touchscreen of 6 - 7.9 inches.

NR64: No | | The specification text does not mention a multifunctional touchscreen of 8 - 9.9 inches.

NR65: No | | The specification text does not mention a multifunctional touchscreen of 10 - 11.9 inches.

NR66: Yes | "15,6" rotējams skārienjutīgs multimēdiju ekrāns" | The text confirms a multifunctional touchscreen larger than 12 inches.

NR67: Yes | "Dynaudio skaņas sistēma" | The text confirms the presence of a branded audio system.

NR68: No | | The specification text does not mention a navigation center.

NR69: No | | The specification text does not mention a connected navigation center.

NR70: Yes | "Android Auto un Apple Car Play" | The text confirms the presence of Android Auto and Apple CarPlay.

NR71: No | | The specification text does not mention wireless Android Auto and Apple CarPlay.

NR72: Yes | "Inteliģents balss vadības sistēma - 'Hi, BYD'" | The text confirms the presence of an intelligent voice control system, which implies AI assistance.

NR73: Yes | "Head-up displejs" | The text confirms the presence of a head-up display.

NR75: Yes | "Multifunkcionāla stūre ar Eco ādas apdari un apsildi" | The text confirms a heated steering wheel.

NR76: No | | The specification text does not mention a leather steering wheel.

NR77: No | | The specification text does not mention a digital display up to 8.9 inches.

NR78: No | | The specification text does not mention a digital display of 9 - 11.9 inches.

NR79: Yes | "10,25" digitāls instrumentu panelis" | The text confirms a digital display larger than 12 inches.

NR81: Yes | "Eco ādas apdares priekšējie sēdekļi, elektriski regulējami, ventilējami, apsildāmi" | The text confirms heated front seats.

NR82: Yes | "Eco ādas apdares priekšējie sēdekļi, elektriski regulējami, ventilējami, apsildāmi" | The text confirms heated front seats, which includes the passenger seat.

NR83: No | | The specification text does not mention heated rear seats.

NR84: No | | The specification text does not mention manual lumbar adjustment for the driver's seat.

NR85: No | | The specification text does not mention manual lumbar adjustment for the passenger seat.

NR86: No | | The specification text does not mention electric lumbar adjustment for the driver's seat.

NR87: No | | The specification text does not mention electric lumbar adjustment for the passenger seat.

NR88: Yes | "Eco ādas apdares priekšējie sēdekļi, elektriski regulējami" | The text confirms electrically adjustable front seats, including the driver's seat.

NR89: Yes | "Eco ādas apdares priekšējie sēdekļi, elektriski regulējami" | The text confirms electrically adjustable front seats, including the passenger seat.

NR90: Yes | "ar atmiņu regulējams vadītāja sēdeklis" | The text confirms the driver's seat is electrically adjustable with memory.

NR91: No | | The specification text does not mention the passenger seat having memory function.

NR92: No | | The specification text does not mention fabric/synthetic leather upholstery.

NR93: No | | The specification text does not mention Alcantara/synthetic leather upholstery.

NR94: Yes | "Eco ādas apdares priekšējie sēdekļi" | The text confirms synthetic leather upholstery.

NR96: No | | The specification text does not mention an automatic parking system.

NR97: Yes | "Aklo zonu noteikšanas sistēma" | The text confirms the presence of a blind spot monitoring system.

NR98: No | | The specification text does not mention blind spot monitoring with cross-traffic alert.

NR99: No | | The specification text does not mention standard cruise control.

NR100: Yes | "Adaptīvā-inteliģentā kruīza kontrole" | The text confirms adaptive cruise control.

NR101: No | | The specification text does not mention adaptive cruise control with Stop&Go.

NR102: Yes | "Intensīvas satiksmes palīgs" | This suggests adaptive cruise control in traffic jams, but it's not explicitly stated.

NR103: No | | The specification text does not mention adaptive cruise control based on navigation.

NR104: No | | The specification text does not mention lane centering or overtaking assistance.

NR105: Yes | "360° kamera" | The text confirms a 360-degree camera, which includes a front view.

NR106: Yes | "360° kamera" | The text confirms a 360-degree camera, which includes a rear view.

NR107: Yes | "Parkošanās sensori, priekšā" | The text confirms front parking sensors.

NR108: Yes | "Parkošanās sensori, aizmugurē" | The text confirms rear parking sensors.

NR110: No | | The specification text does not mention AEBS with pedestrian and cyclist detection.

NR111: No | | The specification text does not mention AEBS with pedestrian detection.

NR112: No | | The specification text does not mention post-collision mitigation.

NR113: Yes | "Elektriskā stāvbremze" | The text confirms an electric parking brake.

NR115: No | | The specification text does not mention 17" steel wheels.

NR116: No | | The specification text does not mention 17" alloy wheels.

NR117: No | | The specification text does not mention 18" steel wheels.

NR118: No | | The specification text does not mention 18" alloy wheels.

NR119: No | | The specification text does not mention 19" steel wheels.

NR120: Yes | "19" divkrāsu vieglmetāla diski" | The text confirms 19" alloy wheels.

NR121: No | | The specification text does not mention 20" steel wheels.

NR122: No | | The specification text does not mention 20" alloy wheels.

NR123: No | | The specification text does not mention a spare wheel.

NR124: No | | The specification text does not mention a trailer hitch.

NR126: No | | The specification text does not mention knee or center airbags.

NR127: No | | The specification text does not mention curtain airbags.

NR128: No | | The specification text does not mention side airbags.

NR129: No | | The specification text does not mention perimeter alarm.

NR130: No | | The specification text does not mention keyless start.

NR131: Yes | "Bezatslēgas piekļuve un startēšana" | The text confirms keyless entry and start.

NR133: No | | The specification text does not mention a 3-year extended warranty.

NR134: No | | The specification text does not mention a 4-year extended warranty.

NR135: No | | The specification text does not mention a 5-year extended warranty.

NR136: No | | The specification text does not mention a 6-year extended warranty.

NR137: No | | The specification text does not mention a 7-year extended warranty.

NR138: No | | The specification text does not mention an 8-year battery warranty.
=== CONSENSUS ATTEMPT 2 ===
NR25: Yes | "220V elektrības padeves sistēma (V2L)" | The specification text explicitly mentions a "220V elektrības padeves sistēma (V2L)", which corresponds to the V2L function.

NR26: Yes | "Siltumsūknis" | The specification text explicitly mentions "Siltumsūknis", indicating the presence of a heat pump.

NR28: No | | The specification text does not mention "4X4 pilna laika (4WD / AWD)" or any related terms indicating an all-wheel-drive system.

NR30: Yes | "Metāliska krāsa" | The specification text explicitly mentions "Metāliska krāsa", indicating that metallic paint is a standard feature.

NR32: Yes | "Ārējie spoguļi, elektriski regulējami, elektriski nolokāmi, apsildāmi" | The specification text confirms that the mirrors are electrically adjustable and heated.

NR33: Yes | "Ārējie spoguļi, elektriski regulējami, elektriski nolokāmi, apsildāmi" | The specification text confirms that the mirrors are electrically adjustable, foldable, and heated.

NR34: No | | The specification text does not mention that the mirrors have a memory function.

NR35: No | | The specification text does not mention automatic windshield wipers.

NR36: Yes | "Tonēti aizmugurējie stikli" | The specification text mentions tinted rear windows, which implies privacy protection.

NR37: No | | The specification text does not mention a heated windshield.

NR38: Yes | "Elektriski atverams/ aizverams bagāžas nodalījuma vāks" | The specification text confirms the trunk lid is electrically operated.

NR39: No | | The specification text does not mention hands-free operation for the trunk lid.

NR40: No | | The specification text does not mention roof rails.

NR41: Yes | "Priekšējais bagāžas nodalījums" | The specification text explicitly mentions a front trunk.

NR42: Yes | "Panorāmas jumts" | The specification text explicitly mentions a panoramic roof.

NR44: Yes | "LED dienas gaitas gaismas" | The specification text confirms the presence of LED daytime running lights.

NR45: No | | The specification text does not mention LED front fog lights.

NR46: No | | The specification text does not mention integrated LED front fog lights.

NR47: Yes | "LED automātiskie priekšējie lukturi" | The specification text confirms automatic control of the LED headlights.

NR48: Maybe | "Tālo gaismu asistents" | The specification text mentions a high beam assistant, which may imply automatic high/low beam control.

NR49: Yes | "LED automātiskie priekšējie lukturi" | The specification text confirms the presence of LED headlights.

NR50: No | | The specification text does not mention adaptive LED headlights without Matrix or Glare Free.

NR51: No | | The specification text does not mention adaptive LED headlights with Matrix or Glare Free.

NR53: No | | The specification text does not explicitly mention a general air conditioning system.

NR54: Yes | "Divzonu klimata kontrole" | The specification text confirms dual-zone climate control, which is a type of air conditioning system.

NR55: No | | The specification text does not mention a three-zone air conditioning system.

NR56: No | | The specification text does not mention a cabin air purifier.

NR57: Yes | "Ambient daudzkrāsu salona apgaismojums" | The specification text confirms the presence of multi-color ambient interior lighting.

NR58: Yes | "Priekšējais centrālais roku balsts ar glāžu turētājiem" | The specification text confirms the presence of a central console with an armrest.

NR59: Yes | "Automātiski aptumšojošs atpakaļskata spogulis" | The specification text confirms the presence of an automatically dimming interior mirror.

NR60: No | | The specification text does not mention a 12V outlet in the trunk.

NR61: Yes | "2 bezvadu viedtālruņu uzlāde" | The specification text confirms the presence of wireless charging.

NR63: No | | The specification text does not mention a touchscreen of 6 - 7.9 inches.

NR64: No | | The specification text does not mention a touchscreen of 8 - 9.9 inches.

NR65: No | | The specification text does not mention a touchscreen of 10 - 11.9 inches.

NR66: Yes | "15,6" rotējams skārienjutīgs multimēdiju ekrāns" | The specification text confirms the presence of a multifunctional touchscreen over 12 inches.

NR67: Yes | "Dynaudio skaņas sistēma" | The specification text confirms the presence of a branded audio system.

NR68: No | | The specification text does not mention a navigation center.

NR69: No | | The specification text does not mention a connected navigation center.

NR70: Yes | "Android Auto un Apple Car Play" | The specification text confirms the presence of Android Auto and Apple CarPlay.

NR71: No | | The specification text does not mention wireless Android Auto and Apple CarPlay.

NR72: Yes | "Inteliģents balss vadības sistēma - 'Hi, BYD'" | The specification text confirms the presence of an intelligent voice control system.

NR73: Yes | "Head-up displejs" | The specification text confirms the presence of a head-up display.

NR75: Yes | "Multifunkcionāla stūre ar Eco ādas apdari un apsildi" | The specification text confirms the presence of a heated steering wheel.

NR76: No | | The specification text does not explicitly mention a leather steering wheel.

NR77: No | | The specification text does not mention a digital display up to 8.9 inches.

NR78: No | | The specification text does not mention a digital display of 9 - 11.9 inches.

NR79: Yes | "10,25" digitāls instrumentu panelis" | The specification text confirms the presence of a digital display over 12 inches.

NR81: Yes | "Eco ādas apdares priekšējie sēdekļi, elektriski regulējami, ventilējami, apsildāmi" | The specification text confirms the presence of a heated driver's seat.

NR82: Yes | "Eco ādas apdares priekšējie sēdekļi, elektriski regulējami, ventilējami, apsildāmi" | The specification text confirms the presence of a heated passenger seat.

NR83: No | | The specification text does not mention heated rear seats.

NR84: No | | The specification text does not mention manual lumbar adjustment for the driver's seat.

NR85: No | | The specification text does not mention manual lumbar adjustment for the passenger's seat.

NR86: No | | The specification text does not mention electric lumbar adjustment for the driver's seat.

NR87: No | | The specification text does not mention electric lumbar adjustment for the passenger's seat.

NR88: Yes | "Eco ādas apdares priekšējie sēdekļi, elektriski regulējami" | The specification text confirms the presence of an electrically adjustable driver's seat.

NR89: Yes | "Eco ādas apdares priekšējie sēdekļi, elektriski regulējami" | The specification text confirms the presence of an electrically adjustable passenger seat.

NR90: Yes | "ar atmiņu regulējams vadītāja sēdeklis" | The specification text confirms the presence of an electrically adjustable driver's seat with memory.

NR91: No | | The specification text does not mention an electrically adjustable passenger seat with memory.

NR92: No | | The specification text does not mention fabric/synthetic leather seat upholstery.

NR93: No | | The specification text does not mention Alcantara/synthetic leather seat upholstery.

NR94: Yes | "Eco ādas apdares priekšējie sēdekļi" | The specification text confirms the presence of synthetic leather seat upholstery.

NR96: No | | The specification text does not mention an automatic parking system.

NR97: Yes | "Aklo zonu noteikšanas sistēma" | The specification text confirms the presence of a blind spot monitoring system.

NR98: No | | The specification text does not mention blind spot monitoring with cross-traffic alert.

NR99: No | | The specification text does not mention cruise control.

NR100: Yes | "Adaptīvā-inteliģentā kruīza kontrole" | The specification text confirms the presence of adaptive cruise control.

NR101: No | | The specification text does not mention adaptive cruise control with Stop&Go.

NR102: Yes | "Intensīvas satiksmes palīgs" | The specification text implies the presence of adaptive cruise control in traffic jams.

NR103: No | | The specification text does not mention navigation-based adaptive cruise control.

NR104: No | | The specification text does not mention lane centering and overtaking assistance.

NR105: Yes | "360° kamera" | The specification text confirms the presence of a 360° camera, which includes a front view.

NR106: Yes | "360° kamera" | The specification text confirms the presence of a 360° camera, which includes a rear view.

NR107: Yes | "Parkošanās sensori, priekšā" | The specification text confirms the presence of front parking sensors.

NR108: Yes | "Parkošanās sensori, aizmugurē" | The specification text confirms the presence of rear parking sensors.

NR110: No | | The specification text does not mention AEBS with pedestrian and cyclist detection.

NR111: No | | The specification text does not mention AEBS with pedestrian detection.

NR112: No | | The specification text does not mention post-collision mitigation.

NR113: Yes | "Elektriskā stāvbremze" | The specification text confirms the presence of an electric parking brake.

NR115: No | | The specification text does not mention 17" steel wheels.

NR116: No | | The specification text does not mention 17" alloy wheels.

NR117: No | | The specification text does not mention 18" steel wheels.

NR118: No | | The specification text does not mention 18" alloy wheels.

NR119: No | | The specification text does not mention 19" steel wheels.

NR120: Yes | "19" divkrāsu vieglmetāla diski" | The specification text confirms the presence of 19" alloy wheels.

NR121: No | | The specification text does not mention 20" steel wheels.

NR122: No | | The specification text does not mention 20" alloy wheels.

NR123: No | | The specification text does not mention a spare wheel.

NR124: No | | The specification text does not mention a trailer hitch.

NR126: No | | The specification text does not mention knee or center airbags.

NR127: No | | The specification text does not mention curtain airbags.

NR128: No | | The specification text does not mention side airbags.

NR129: No | | The specification text does not mention perimeter alarm.

NR130: No | | The specification text does not mention keyless ignition.

NR131: Yes | "Bezatslēgas piekļuve un startēšana" | The specification text confirms the presence of keyless entry and start.

NR133: No | | The specification text does not mention an additional 3-year warranty.

NR134: No | | The specification text does not mention an additional 4-year warranty.

NR135: No | | The specification text does not mention an additional 5-year warranty.

NR136: No | | The specification text does not mention an additional 6-year warranty.

NR137: No | | The specification text does not mention an additional 7-year warranty.

NR138: No | | The specification text does not mention an 8-year battery warranty.
=== CONSENSUS ATTEMPT 3 ===
NR25: Yes | "220V elektrības padeves sistēma (V2L)" | The specification text explicitly mentions the "220V elektrības padeves sistēma (V2L)", which corresponds to the V2L function.

NR26: Yes | "Siltumsūknis" | The specification text explicitly includes "Siltumsūknis", which matches the masterlist item for a heat pump.

NR28: No | | The specification text does not mention "4X4 pilna laika (4WD / AWD)" or any related terms indicating all-wheel drive or four-wheel drive systems.

NR30: Yes | "Metāliska krāsa" | The specification text mentions "Metāliska krāsa", confirming the inclusion of metallic paint as a standard feature.

NR32: Yes | "Ārējie spoguļi, elektriski regulējami, elektriski nolokāmi, apsildāmi" | The specification text confirms that the exterior mirrors are electrically adjustable and heated.

NR33: Yes | "Ārējie spoguļi, elektriski regulējami, elektriski nolokāmi, apsildāmi" | The text includes all features: electrically adjustable, foldable, and heated mirrors.

NR34: No | | The specification text does not mention mirrors with memory function, only electrically adjustable, foldable, and heated.

NR35: Yes | "Lietus sensors" | The presence of a rain sensor implies automatic wiper operation.

NR36: Yes | "Tonēti aizmugurējie stikli" | The text mentions tinted rear windows, which provide privacy protection.

NR37: No | | The specification text does not mention a heated windshield.

NR38: Yes | "Elektriski atverams/ aizverams bagāžas nodalījuma vāks" | The text confirms the presence of an electrically operated trunk lid.

NR39: No | | There is no mention of hands-free operation for the trunk lid in the specification text.

NR40: No | | The specification text does not mention roof rails.

NR41: Yes | "Priekšējais bagāžas nodalījums" | The specification text includes a front luggage compartment.

NR42: Yes | "Panorāmas jumts" | The specification text explicitly mentions a panoramic roof.

NR44: Yes | "LED dienas gaitas gaismas" | The specification text confirms LED daytime running lights.

NR45: No | | There is no mention of LED fog lights in the specification text.

NR46: No | | The specification text does not mention integrated LED fog lights.

NR47: Yes | "LED automātiskie priekšējie lukturi" | The text confirms automatic control for the front headlights.

NR48: No | | The specification text does not specify automatic high/low beam control.

NR49: Yes | "LED automātiskie priekšējie lukturi" | The text confirms the presence of LED front headlights.

NR50: No | | The specification text does not mention adaptive LED headlights without Matrix or Glare Free.

NR51: No | | There is no mention of adaptive LED headlights with Matrix or Glare Free in the specification text.

NR53: No | | The specification text does not explicitly mention a general air conditioning system.

NR54: Yes | "Divzonu klimata kontrole" | The text specifies dual-zone climate control, which is a form of electronic automatic temperature control (EATC).

NR55: No | | The specification text does not mention a three-zone climate control system.

NR56: Yes | "Gaisa kvalitātes uzlabotājs" | The text includes an air quality enhancer, which is akin to an air purifier.

NR57: Yes | "Ambient daudzkrāsu salona apgaismojums" | The specification text confirms ambient multi-color interior lighting.

NR58: Yes | "Priekšējais centrālais roku balsts ar glāžu turētājiem" | The text mentions a front central armrest, which is part of the central console.

NR59: Yes | "Automātiski aptumšojošs atpakaļskata spogulis" | The specification text confirms an automatically dimming interior mirror.

NR60: No | | The specification text does not mention a 12V outlet in the luggage compartment.

NR61: Yes | "2 bezvadu viedtālruņu uzlāde" | The text confirms the presence of wireless charging for smartphones.

NR63: No | | The specification text does not mention a touchscreen of 6 - 7.9 inches.

NR64: No | | The specification text does not mention a touchscreen of 8 - 9.9 inches.

NR65: No | | The specification text does not mention a touchscreen of 10 - 11.9 inches.

NR66: Yes | "15,6" rotējams skārienjutīgs multimēdiju ekrāns" | The text specifies a 15.6-inch touchscreen, which is above 12 inches.

NR67: Yes | "Dynaudio skaņas sistēma" | The text confirms the presence of a branded audio system by Dynaudio.

NR68: No | | The specification text does not mention a navigation center.

NR69: No | | The specification text does not mention a connected navigation center.

NR70: Yes | "Android Auto un Apple Car Play" | The text confirms compatibility with Android Auto and Apple CarPlay.

NR71: No | | The specification text does not specify wireless Android Auto and Apple CarPlay.

NR72: Yes | "Inteliģents balss vadības sistēma - 'Hi, BYD'" | The text mentions an intelligent voice control system, indicating an AI assistant.

NR73: Yes | "Head-up displejs" | The specification text confirms the presence of a head-up display.

NR75: Yes | "Multifunkcionāla stūre ar Eco ādas apdari un apsildi" | The text confirms a steering wheel with heating.

NR76: No | | The specification text does not mention a leather steering wheel.

NR77: No | | The specification text does not mention a digital display up to 8.9 inches.

NR78: No | | The specification text does not mention a digital display of 9 - 11.9 inches.

NR79: Yes | "10,25" digitāls instrumentu panelis" | The text mentions a digital instrument panel of 10.25 inches, which falls under 12+ inches.

NR81: Yes | "Eco ādas apdares priekšējie sēdekļi, elektriski regulējami, ventilējami, apsildāmi" | The text confirms heated front seats.

NR82: Yes | "Eco ādas apdares priekšējie sēdekļi, elektriski regulējami, ventilējami, apsildāmi" | The text confirms heated passenger seats.

NR83: No | | The specification text does not mention heated rear seats.

NR84: No | | The specification text does not mention manual lumbar adjustment for the driver's seat.

NR85: No | | The specification text does not mention manual lumbar adjustment for the passenger's seat.

NR86: No | | The specification text does not mention electric lumbar adjustment for the driver's seat.

NR87: No | | The specification text does not mention electric lumbar adjustment for the passenger's seat.

NR88: Yes | "Eco ādas apdares priekšējie sēdekļi, elektriski regulējami" | The text confirms electrically adjustable driver seats.

NR89: Yes | "Eco ādas apdares priekšējie sēdekļi, elektriski regulējami" | The text confirms electrically adjustable passenger seats.

NR90: Yes | "ar atmiņu regulējams vadītāja sēdeklis" | The text confirms a memory function for the driver's seat.

NR91: No | | The specification text does not mention a memory function for the passenger's seat.

NR92: No | | The specification text does not mention fabric/synthetic leather seat upholstery.

NR93: No | | The specification text does not mention Alcantara/synthetic leather seat upholstery.

NR94: Yes | "Eco ādas apdares priekšējie sēdekļi" | The text confirms synthetic leather seat upholstery.

NR96: No | | The specification text does not mention an automatic parking system.

NR97: Yes | "Aklo zonu noteikšanas sistēma" | The text confirms a blind spot monitoring system.

NR98: No | | The specification text does not mention blind spot monitoring with cross-traffic alert.

NR99: No | | The specification text does not mention standard cruise control.

NR100: Yes | "Adaptīvā-inteliģentā kruīza kontrole" | The text confirms adaptive cruise control.

NR101: No | | The specification text does not specify adaptive cruise control with Stop&Go.

NR102: No | | The specification text does not specify adaptive cruise control in traffic jams.

NR103: No | | The specification text does not mention navigation-based adaptive cruise control.

NR104: No | | The specification text does not mention lane centering or overtaking assistance.

NR105: Yes | "360° kamera" | The text confirms a 360-degree camera view.

NR106: No | | The specification text does not mention a rearview camera.

NR107: Yes | "Parkošanās sensori, priekšā un aizmugurē" | The text confirms front parking sensors.

NR108: Yes | "Parkošanās sensori, priekšā un aizmugurē" | The text confirms rear parking sensors.

NR110: No | | The specification text does not mention AEBS with pedestrian and cyclist detection.

NR111: No | | The specification text does not mention AEBS with pedestrian detection.

NR112: No | | The specification text does not mention post-collision mitigation.

NR113: Yes | "Elektriskā stāvbremze" | The text confirms an electric parking brake.

NR115: No | | The specification text does not mention 17" steel wheels.

NR116: No | | The specification text does not mention 17" alloy wheels.

NR117: No | | The specification text does not mention 18" steel wheels.

NR118: No | | The specification text does not mention 18" alloy wheels.

NR119: No | | The specification text does not mention 19" steel wheels.

NR120: Yes | "19" divkrāsu vieglmetāla diski" | The text confirms 19" alloy wheels.

NR121: No | | The specification text does not mention 20" steel wheels.

NR122: No | | The specification text does not mention 20" alloy wheels.

NR123: No | | The specification text does not mention a spare wheel.

NR124: No | | The specification text does not mention a trailer hitch.

NR126: No | | The specification text does not mention knee or center airbags.

NR127: No | | The specification text does not mention curtain airbags.

NR128: No | | The specification text does not mention side airbags.

NR129: Yes | "Signalizācija" | The text confirms the presence of an alarm system, which implies perimeter security.

NR130: No | | The specification text does not mention keyless ignition.

NR131: Yes | "Bezatslēgas piekļuve un startēšana" | The text confirms keyless entry and starting.

NR133: No | | The specification text does not mention a 3-year extended warranty.

NR134: No | | The specification text does not mention a 4-year extended warranty.

NR135: No | | The specification text does not mention a 5-year extended warranty.

NR136: No | | The specification text does not mention a 6-year extended warranty.

NR137: No | | The specification text does not mention a 7-year extended warranty.

NR138: No | | The specification text does not mention an 8-year battery warranty.
