Nr Code,Variable Name,Is TT,LV Match,EN Match,Final Match,Include,LV Text,EN Text,Consensus Reasoning,Accepted
NR45,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana,N,Yes,Yes,Maybe,Y,"Gaismas asistents (Light Assist) ar lietus sensoru, atkarībā no apstākļiem automātiski ieslēdz tuvās gaismas vai dienas gaitas lukturus","Gaismas asistents (Light Assist) ar lietus sensoru, atkarībā no apstākļiem automātiski ieslēdz tuvās gaismas","The text mentions automatic light activation, implying automatic control.; The specification text does not mention automatic on/off headlight control.; The text mentions automatic headlight control.",X
NR46,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,N,No,No,Maybe,Y,,,"The specification text does not mention automatic high/low beam switching.; The text describes automatic switching of lights, which includes low beams.; The specification text does not mention automatic switching of high/low beams specifically.",X
NR47,Priekšējie lukturi – LED,N,Yes,Yes,Yes,Y,LED priekšējie un aizmugurējie lukturi,LED priekšējie un aizmugurējie lukturi,The text explicitly mentions LED front lights.; The specification explicitly mentions LED front lights.; The text explicitly mentions LED front lights.,X
NR48,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,N,No,No,No,N,,,The specification text does not mention adaptive LED headlights without Matrix or Glare Free.; The specification text does not mention adaptive LED headlights without Matrix or Glare Free.; There is no mention of adaptive LED headlights without Matrix or Glare Free in the specification text.,
NR49,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,N,No,No,No,N,,,The specification text does not mention adaptive LED headlights with Matrix or Glare Free.; The specification text does not mention adaptive LED headlights with Matrix or Glare Free.; There is no mention of adaptive LED headlights with Matrix or Glare Free in the specification text.,
NR50,— INTERJERS – KOMFORTS/ĒRTĪBAS —,Y,,,,,,,,
NR51,Gaisa kondicionētājs – EATC 1 zona,N,No,No,No,N,,,The specification text does not mention a single-zone EATC air conditioner.; The specification text does not mention a single-zone EATC air conditioner.; The specification text does not mention a one-zone EATC air conditioner.,
NR52,Gaisa kondicionētājs – EATC 2 zonas,N,No,No,No,N,,,The specification text does not mention a two-zone EATC air conditioner.; The specification text does not mention a two-zone EATC air conditioner.; The specification text does not mention a two-zone EATC air conditioner.,
NR53,Gaisa kondicionētājs – EATC 3 zonas,N,Yes,Yes,Yes,Y,3-zonu klimata kontrole (Climatronic),3-zonu klimata kontrole (Climatronic),The text explicitly mentions a 3-zone climate control system.; The specification explicitly mentions a 3-zone climate control system.; The text explicitly mentions a three-zone climate control system.,X
NR54,Salona gaisa attīrītājs,N,No,No,No,N,,,The specification text does not mention a cabin air purifier.; The specification text does not mention a cabin air purifier.; There is no mention of a cabin air purifier in the specification text.,
NR55,Centrālā konsole ar roku balstu,N,Maybe,Maybe,Maybe,Y,Priekšējais elkoņbalsts ar sīklietu novietni,Priekšējais elkoņbalsts ar sīklietu novietni,"The specification text does not mention a central console with an armrest.; The specification mentions a front armrest with a storage compartment, which implies a central console with an armrest.; The text mentions a front armrest with a storage compartment.",X
NR56,Apgaismojums – salons ar daudzkrāsu LED,N,Maybe,No,Maybe,Y,salona LED apgaismojuma pakotne,,"The text mentions an interior LED lighting package, but does not specify multi-color.; The specification text does not mention multi-color LED ambient lighting.; The text mentions an interior LED lighting package, which could imply multicolor.",X
NR57,Automātiski tumšojams salona spogulis,N,Yes,Yes,Yes,Y,Salona atpakaļskata spogulis ar automātisku aptumšošanos,Salona atpakaļskata spogulis ar automātisku aptumšošanos,The text explicitly mentions an automatically dimming interior rear-view mirror.; The specification explicitly mentions an automatically dimming interior mirror.; The text specifies an automatically dimming interior rearview mirror.,X
NR58,Elektrības pieslēgums – aizmugurē,N,Maybe,Maybe,No,Y,12V rozete bagāžas nodalījumā,12V rozete bagāžas nodalījumā,The specification text does not mention a rear power outlet.; The specification text does not mention a power outlet in the rear.; The specification text does not mention an electrical outlet in the rear.,X
NR59,Bezvadu uzlāde,N,No,No,No,N,,,The specification text does not mention wireless charging.; The specification text does not mention wireless charging.; There is no mention of wireless charging in the specification text.,
NR60,— INTERJERS – IN CAR ENTERTAINMENT/KOMUNIKĀCIJAS —,Y,,,,,,,,
NR61,Zīmola skaņas sistēma ar vairāk nekā 6 skaļruņiem,N,No,No,No,N,,,"The specification text mentions 4 speakers in the front and 4 in the rear, totaling 8, but does not specify a branded sound system.; The specification text does not mention a branded sound system with more than six speakers.; The specification text mentions 8 speakers but does not specify a branded sound system with more than 6 speakers.",
NR62,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 8""",N,No,No,No,N,,,"The specification text does not mention a 6-8"" multifunctional touchscreen.; The specification text does not mention a 6-8"" multifunctional touchscreen.; The specification text mentions a 13"" touchscreen, not a 6-8"" screen.",
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 10""",N,No,No,No,N,,,"The specification text does not mention an 8-10"" multifunctional touchscreen.; The specification text does not mention an 8-10"" multifunctional touchscreen.; The specification text mentions a 13"" touchscreen, not an 8-10"" screen.",
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 12""",N,No,No,No,N,,,"The specification text does not mention a 10-12"" multifunctional touchscreen.; The specification text does not mention a 10-12"" multifunctional touchscreen.; The specification text mentions a 13"" touchscreen, not a 10-12"" screen.",
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,N,Yes,Yes,Yes,Y,"13"" skārienjūtīgs ekrāns, balss vadība, Smart Link, digitālais radio, 2x USB-C pieslēgvietas","13"" skārienjūtīgs ekrāns, balss vadība, Smart Link, digitālais radio, 2x USB-C pieslēgvietas","The text mentions a 13"" touchscreen, which is larger than 12"".; The specification mentions a 13"" touchscreen, which fits the ""12+"" category.; The text specifies a 13"" touchscreen.",X
NR66,Navigācijas centrs,N,Yes,No,Yes,Y,"navigācijas sistēma ar multivides pakotnes ""Infotainment Online"" 3 gadu abonementu",,The text mentions a navigation system as part of the Infotainment Basic package.; The specification mentions a navigation system as part of the Infotainment Basic package.; The text mentions a navigation system.,X
NR67,Navigācijas centrs - savienots,N,Yes,Yes,Yes,Y,"navigācijas sistēma ar multivides pakotnes ""Infotainment Online"" 3 gadu abonementu","navigācijas sistēma ar multivides pakotnes ""Infotainment Online"" 3 gadu abonementu","The text mentions a navigation system with an online package subscription, implying connectivity.; The specification mentions a connected navigation system as part of the Infotainment Online package.; The text mentions a connected navigation system with an online package.",X
NR68,Android Auto un Apple CarPlay,N,No,No,No,N,,,The specification text does not mention Android Auto and Apple CarPlay.; The specification text does not mention Android Auto and Apple CarPlay.; The specification text does not mention Android Auto and Apple CarPlay.,
NR69,Android Auto un Apple CarPlay - bezvadu,N,No,No,No,N,,,The specification text does not mention wireless Android Auto and Apple CarPlay.; The specification text does not mention wireless Android Auto and Apple CarPlay.; The specification text does not mention wireless Android Auto and Apple CarPlay.,
NR70,Vieds palīgs ar AI,N,No,No,No,N,,,The specification text does not mention an AI smart assistant.; The specification text does not mention a smart assistant with AI.; There is no mention of a smart assistant with AI in the specification text.,
NR71,Head - Up displejs,N,No,No,No,N,,,The specification text does not mention a head-up display.; The specification text does not mention a head-up display.; There is no mention of a head-up display in the specification text.,
NR72,— INTERJERS -  INSTRUMENTI/VADĪBAS ELEMENTI —,Y,,,,,,,,
NR73,Apsildāms stūres rats,N,Yes,Yes,Yes,Y,2-spieķu multifunkcionāla ādas stūre ar apsildi,2-spieķu multifunkcionāla ādas stūre ar apsildi,The text mentions a multifunctional leather steering wheel with heating.; The specification explicitly mentions a heated leather multifunction steering wheel.; The text specifies a heated multifunction leather steering wheel.,X
NR74,Ādas stūres rats,N,Yes,No,Yes,Y,2-spieķu multifunkcionāla ādas stūre ar apsildi,,The text mentions a multifunctional leather steering wheel.; The specification explicitly mentions a leather multifunction steering wheel.; The text specifies a leather multifunction steering wheel.,X
NR75,"Digitālais displejs – līdz 8,9 collas",N,No,No,No,N,,,The specification text does not mention a digital display up to 8.9 inches.; The specification text does not mention a digital display up to 8.9 inches.; The specification text does not mention a digital display up to 8.9 inches.,
NR76,"Digitālais displejs 9–11,9 collas",N,No,No,No,N,,,The specification text does not mention a digital display between 9 and 11.9 inches.; The specification text does not mention a digital display between 9-11.9 inches.; The specification text does not mention a digital display 9–11.9 inches.,
NR77,Digitālais displejs 12+ collas,N,No,No,No,N,,,The specification text does not mention a digital display of 12+ inches.; The specification text does not mention a digital display 12+ inches.; The specification text does not mention a digital display 12+ inches.,
NR78,— INTERJERS -  SĒDEKĻI —,Y,,,,,,,,
NR79,Apsildāms vadītāja sēdeklis,N,Yes,Yes,Yes,Y,Priekšējo sēdekļu apsilde,Priekšējo sēdekļu apsilde,The text mentions heated front seats.; The specification explicitly mentions front seat heating.; The text mentions front seat heating.,X
NR80,Apsildāms pasažiera sēdeklis,N,Yes,Yes,Yes,Y,Priekšējo sēdekļu apsilde,Priekšējo sēdekļu apsilde,"The text mentions heated front seats, implying both driver and passenger.; The specification explicitly mentions front seat heating, which includes the passenger seat.; The text mentions front seat heating, which includes the passenger seat.",X
NR81,Apsildāmi aizmugurējie sēdekļi,N,No,No,No,N,,,The specification text does not mention heated rear seats.; The specification text does not mention heated rear seats.; The specification text does not mention heated rear seats.,
NR82,Vadītāja sēdekļa jostasvietas regulēšana manuāli,N,No,No,No,N,,,The specification text does not mention manual lumbar adjustment for the driver's seat.; The specification text does not mention manual lumbar adjustment for the driver's seat.; The specification text does not mention manual lumbar adjustment for the driver's seat.,
NR83,Pasažiera sēdekļa jostasvietas regulēšana manuāli,N,No,No,No,N,,,The specification text does not mention manual lumbar adjustment for the passenger's seat.; The specification text does not mention manual lumbar adjustment for the passenger seat.; The specification text does not mention manual lumbar adjustment for the passenger seat.,
NR84,Vadītāja sēdekļa jostasvietas regulēšana elektriski,N,No,No,No,N,,,The specification text does not mention electric lumbar adjustment for the driver's seat.; The specification text does not mention electric lumbar adjustment for the driver's seat.; The specification text does not mention electric lumbar adjustment for the driver's seat.,
NR85,Pasažiera sēdekļa jostasvietas regulēšana elektriski,N,No,No,No,N,,,The specification text does not mention electric lumbar adjustment for the passenger's seat.; The specification text does not mention electric lumbar adjustment for the passenger seat.; The specification text does not mention electric lumbar adjustment for the passenger seat.,
NR86,Vadītāja sēdekļa elektriska regulēšana,N,No,No,No,N,,,The specification text does not mention electrically adjustable driver seats.; The specification text does not mention electric adjustment for the driver's seat.; The specification text does not mention electric adjustment for the driver's seat.,
NR87,Pasažiera sēdekļa elektriska regulēšana,N,No,No,No,N,,,The specification text does not mention electrically adjustable passenger seats.; The specification text does not mention electric adjustment for the passenger seat.; The specification text does not mention electric adjustment for the passenger seat.,
NR88,Elektriski regulējams vadītāja sēdeklis ar atmiņu,N,No,No,No,N,,,The specification text does not mention electrically adjustable driver seats with memory.; The specification text does not mention an electrically adjustable driver's seat with memory.; The specification text does not mention an electrically adjustable driver's seat with memory.,
NR89,Elektriski regulējams pasažiera sēdeklis ar atmiņu,N,No,No,No,N,,,The specification text does not mention electrically adjustable passenger seats with memory.; The specification text does not mention an electrically adjustable passenger seat with memory.; The specification text does not mention an electrically adjustable passenger seat with memory.,
NR90,Sēdekļu apdare - audums/sintētiska āda,N,Yes,Maybe,Yes,Y,melna/pelēka sēdekļu auduma/ mākslīgās ādas apdare,melna/pelēka sēdekļu auduma/ mākslīgās ādas apdare,The text mentions seat upholstery with fabric/synthetic leather.; The specification mentions fabric/synthetic leather upholstery as part of the Loft design package.; The text mentions seat upholstery in fabric/synthetic leather.,X
NR91,Sēdekļu apdare - Alcantara/sintētiska āda,N,No,No,No,N,,,The specification text does not mention Alcantara/synthetic leather upholstery.; The specification text does not mention Alcantara/synthetic leather upholstery.; The specification text does not mention Alcantara/synthetic leather upholstery.,
NR92,Sēdekļu apdare - sintētiska āda,N,No,No,No,N,,,The specification text does not mention synthetic leather upholstery.; The specification text does not mention synthetic leather upholstery alone.; The specification text does not mention synthetic leather upholstery alone.,
NR93,— INTERJERS -  VADĪTĀJA PALĪDZĪBAS TEHNOLOĢIJAS —,Y,,,,,,,,
NR94,Automātiskā parkošanās sistēma,N,No,No,No,N,,,The specification text does not mention an automatic parking system.; The specification text does not mention an automatic parking system.; The specification text does not mention an automatic parking system.,
NR95,Aklās zona uzraudzība,N,Yes,Yes,Yes,Y,"Aklo zonu kontroles sistēma ""Side Assist"" uzrauga satiksmi automašīnas sānos un aizmugurē","Aklo zonu kontroles sistēma ""Side Assist"" uzrauga satiksmi automašīnas sānos un aizmugurē",The text mentions a blind spot monitoring system.; The specification mentions a blind spot monitoring system.; The text mentions a blind spot monitoring system.,X
NR96,Aklās zona uzraudzība ar krustojuma satiksmes brīdinājumu,N,No,No,No,N,,,The specification text does not mention blind spot monitoring with cross-traffic alert.; The specification text does not mention blind spot monitoring with cross-traffic alert.; The specification text does not mention blind spot monitoring with cross-traffic alert.,
NR97,Kruīza kontrole,N,No,No,No,N,,,The specification text does not mention standard cruise control.; The specification text does not mention cruise control.; The specification text does not mention cruise control.,
NR98,Kruīza kontrole – adaptīvā,N,Yes,Yes,Yes,Y,Adaptīvā kruīza kontrole,Adaptīvā kruīza kontrole,The text mentions adaptive cruise control.; The specification explicitly mentions adaptive cruise control.; The text mentions adaptive cruise control.,X
NR99,Kruīza kontrole – adaptīvā Stop&Go,N,No,No,No,N,,,The specification text does not mention adaptive cruise control with Stop&Go.; The specification text does not mention adaptive cruise control with Stop&Go.; The specification text does not mention adaptive cruise control with Stop&Go.,
NR100,Kruīza kontrole – adaptīvā satiksmes sastrēgumu gadījumā,N,No,No,No,N,,,The specification text does not mention adaptive cruise control for traffic jams.; The specification text does not mention adaptive cruise control in traffic jams.; The specification text does not mention adaptive cruise control for traffic jams.,
NR101,"Kruīza kontrole – adaptīvā, balstīta uz navigācijas sistēmu",N,No,No,No,N,,,The specification text does not mention navigation-based adaptive cruise control.; The specification text does not mention adaptive cruise control based on the navigation system.; The specification text does not mention adaptive cruise control based on the navigation system.,
NR102,Joslas centrēšana un apdzīšanas palīgs,N,No,No,No,N,,,The specification text does not mention lane centering and overtaking assistance.; The specification text does not mention lane centering and overtaking assist.; The specification text does not mention lane centering and overtaking assist.,
NR103,Kamera – priekšējais 360° skats,N,No,No,No,N,,,The specification text does not mention a front 360° camera view.; The specification text does not mention a front 360° camera view.; The specification text does not mention a 360° front camera view.,
NR104,Kamera – aizmugurējais skats,N,Yes,Yes,Yes,Y,atpakaļskata kamera,atpakaļskata kamera,The text mentions a rear-view camera.; The specification mentions a rearview camera.; The text mentions a rearview camera.,X
NR105,Stāvvietas palīgs – priekšējie sensori,N,Yes,Yes,Yes,Y,Stāvvietā novietošanas sensori priekšā,Stāvvietā novietošanas sensori priekšā,The text mentions parking sensors in the front.; The specification mentions front parking sensors.; The text mentions parking sensors at the front.,X
NR106,Stāvvietas palīgs – aizmugurējie sensori,N,Yes,Yes,Yes,Y,Stāvvietā novietošanas sensori aizmugurē,Stāvvietā novietošanas sensori aizmugurē,The text mentions parking sensors in the rear.; The specification mentions rear parking sensors.; The text mentions parking sensors at the rear.,X
NR107,— MEHĀNISKAIS -  ŠASIJA —,Y,,,,,,,,
NR108,AEBS ar gājēju un velosipēdistu atpazīšanu,N,Yes,Yes,Yes,Y,gājēju un velobraucēju uzraudzības sistēma,gājēju un velobraucēju uzraudzības sistēma,"The text mentions a pedestrian and cyclist monitoring system, part of AEBS.; The specification mentions AEBS with pedestrian and cyclist detection.; The text mentions a pedestrian and cyclist monitoring system, which implies AEBS.",X
NR109,Sadursmes mīkstināšana - pēc sadursmes,N,No,No,No,N,,,The specification text does not mention post-collision mitigation.; The specification text does not mention post-collision mitigation.; The specification text does not mention collision mitigation post-collision.,
NR110,Stāvbremze - elektriska,N,Yes,Yes,Yes,Y,"Elektroniskā stāvbremze ar ""Autohold"" funkciju","Elektroniskā stāvbremze ar ""Autohold"" funkciju","The text mentions an electronic parking brake.; The specification explicitly mentions an electronic parking brake.; The text mentions an electronic parking brake with ""Autohold.""",X
NR111,— MEHĀNISKAIS -  RITEŅI/RIEPAS —,Y,,,,,,,,
NR112,"17"" tērauda riteņi",N,No,No,No,N,,,"The specification text does not mention 17"" steel wheels.; The specification text does not mention 17"" steel wheels.; The specification text does not mention 17"" steel wheels.",
NR113,"17"" vieglmetāla riteņi",N,No,No,No,N,,,"The specification text does not mention 17"" alloy wheels.; The specification text does not mention 17"" alloy wheels.; The specification text does not mention 17"" alloy wheels.",
NR114,"18"" tērauda riteņi",N,No,No,No,N,,,"The specification text does not mention 18"" steel wheels.; The specification text does not mention 18"" steel wheels.; The specification text does not mention 18"" steel wheels.",
NR115,"18"" vieglmetāla riteņi",N,No,No,No,N,,,"The specification text does not mention 18"" alloy wheels.; The specification text does not mention 18"" alloy wheels.; The specification text does not mention 18"" alloy wheels.",
NR116,"19"" vieglmetāla riteņi",N,Yes,Yes,Yes,Y,"19"" vieglmetāla diski PROTEUS. 235/55 riepas priekšā un 255/50 R19 aizmugurē","19"" vieglmetāla diski PROTEUS. 235/55 riepas priekšā un 255/50 R19 aizmugurē","The text mentions 19"" alloy wheels.; The specification explicitly mentions 19"" alloy wheels.; The text mentions 19"" alloy wheels.",X
NR117,"20"" vieglmetāla riteņi",N,No,No,No,N,,,"The specification text does not mention 20"" alloy wheels.; The specification text does not mention 20"" alloy wheels.; The specification text does not mention 20"" alloy wheels.",
NR118,Rezerves ritenis,N,No,No,No,N,,,The specification text does not mention a spare wheel.; The specification text does not mention a spare wheel.; The specification text does not mention a spare wheel.,
NR119,Piekabes āķis,N,No,No,No,N,,,The specification text does not mention a tow hook.; The specification text does not mention a trailer hitch.; The specification text does not mention a tow hitch.,
NR120,— DROŠĪBA UN AIZSARDZĪBA —,Y,,,,,,,,
NR121,Gaisa spilveni - ceļgaliem,N,No,No,No,N,,,The specification text does not mention knee airbags.; The specification text does not mention knee airbags.; The specification text does not mention knee airbags.,
NR122,Gaisa spilveni - aizkari,N,Yes,Yes,Yes,Y,Galvas drošības spilvenu sistēma (aizkari),Galvas drošības spilvenu sistēma (aizkari),The text mentions curtain airbags.; The specification explicitly mentions curtain airbags.; The text mentions head airbag system (curtains).,X
NR123,Gaisa spilveni - sāniem,N,Yes,Yes,Yes,Y,priekšējie sānu un centrālais drošības spilveni,priekšējie sānu un centrālais drošības spilveni,The text mentions side airbags.; The specification explicitly mentions side airbags.; The text mentions front side airbags.,X
NR124,Signalizācija - perimetrs,N,No,No,No,N,,,The specification text does not mention perimeter alarm.; The specification text does not mention perimeter alarm.; The specification text does not mention perimeter alarm.,
NR125,Bezatslēgas iedarbināšana,N,No,No,Maybe,Y,,,The text mentions keyless engine start.; The specification text does not mention keyless start.; The specification text does not mention keyless ignition.,X
NR126,Bezatslēgas ieeja un iedarbināšana,N,Yes,Yes,Yes,Y,Bezatslēgas piekļuves un dzinēja startēšana sistēma Kessy,Bezatslēgas piekļuves un dzinēja startēšana sistēma Kessy,The text mentions keyless entry and engine start.; The specification explicitly mentions keyless entry and start.; The text mentions keyless entry and start system.,X
NR127,— GARANTIJA —,Y,,,,,,,,
NR128,Papildus garantija - 2 gadi,N,No,No,No,N,,,The specification text does not mention an additional 2-year warranty.; The specification text does not mention an additional 2-year warranty.; The specification text does not mention an additional 2-year warranty.,
NR129,Pagarināta garantija – 3 gadi,N,No,No,No,N,,,The specification text does not mention a 3-year extended warranty.; The specification text does not mention an extended 3-year warranty.; The specification text does not mention an extended 3-year warranty.,
NR130,Pagarināta garantija – 4 gadi,N,No,No,No,N,,,The specification text does not mention a 4-year extended warranty.; The specification text does not mention an extended 4-year warranty.; The specification text does not mention an extended 4-year warranty.,
NR131,Pagarināta garantija – 5 gadi,N,Yes,Yes,Yes,Y,Ražotāja garantija - 5 gadi ar 100 000km nobraukuma ierobežojumu,Ražotāja garantija - 5 gadi ar 100 000km nobraukuma ierobežojumu,The text mentions a 5-year warranty.; The specification mentions a 5-year manufacturer warranty.; The text mentions a 5-year warranty.,X
NR132,Pagarināta garantija – 6 gadi,N,No,No,No,N,,,The specification text does not mention a 6-year extended warranty.; The specification text does not mention an extended 6-year warranty.; The specification text does not mention an extended 6-year warranty.,
NR133,Pagarināta garantija – 7 gadi,N,No,No,No,N,,,The specification text does not mention a 7-year extended warranty.; The specification text does not mention an extended 7-year warranty.; The specification text does not mention an extended 7-year warranty.,
NR134,Garantijas nobraukums,N,No,No,Yes,Y,,,"The text mentions a mileage limit of 100,000 km.; The specification mentions a warranty with mileage limitation.; The text mentions a mileage limit for the warranty.",X
NR135,Garantijas nobraukums,N,No,No,Maybe,Y,,,The specification text does not mention an additional mileage warranty.; There is no additional context to differentiate this from NR134.; The text mentions a mileage limit for the warranty.,X
NR136,Garantijas nobraukums,N,No,No,No,N,,,The specification text does not mention an additional mileage warranty.; There is no additional context to differentiate this from NR134.; The specification text does not mention a specific mileage limit beyond what is already stated.,
NR137,Garantijas nobraukums,N,No,No,No,N,,,The specification text does not mention an additional mileage warranty.; There is no additional context to differentiate this from NR134.; The specification text does not mention a specific mileage limit beyond what is already stated.,
NR138,Bez nobraukuma ierobežojuma,N,No,No,No,N,,,The specification text does not mention a warranty without mileage limitation.; The specification text does not mention a warranty without mileage limitation.; The specification text does not mention a warranty without mileage limitation.,
NR139,Akumulatora garantija,N,Yes,Yes,Yes,Y,Augstprieguma baterijas garantija 8 gadi vai 160 000km,Augstprieguma baterijas garantija 8 gadi vai 160 000km,"The text mentions an 8-year or 160,000 km battery warranty.; The specification explicitly mentions a battery warranty.; The text mentions an 8-year or 160,000 km battery warranty.",X
