Nr Code,Variable Name,Is TT,LV Match,LV Text,EN Match,EN Text,Consensus Vote,Consensus Text,Consensus Reasoning,Include
NR54,Gaisa kondicionētājs - EATC 2 zonas,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Gaisa kondicionētājs - EATC 2 zonas"" or a dual-zone electronic automatic temperature control air conditioner.; The specification text does not specify an EATC 2 zone air conditioning system.; There is no mention of ""Gaisa kondicionētājs - EATC 2 zonas"" in the specification text.",☐
NR55,Gaisa kondicionētājs - EATC 3 zonas,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Gaisa kondicionētājs - EATC 3 zonas"" or a three-zone electronic automatic temperature control air conditioner.; The specification text does not specify an EATC 3 zone air conditioning system.; The specification text does not mention ""Gaisa kondicionētājs - EATC 3 zonas"".",☐
NR56,Salona gaisa attīrītājs,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Salona gaisa attīrītājs"" or an air purifier for the cabin.; There is no mention of a cabin air purifier in the specification text.; There is no mention of ""Salona gaisa attīrītājs"" in the specification text.",☐
NR57,Apgaismojums - salons ar daudzkrāsu LED,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Apgaismojums - salons ar daudzkrāsu LED"" or multi-color LED interior lighting.; The specification text does not mention multi-color LED interior lighting.; The specification text does not mention ""Apgaismojums - salons ar daudzkrāsu LED"".",☐
NR58,Centrālā konsole ar roku balstu,N,Yes,Priekšējais elkoņbalsts,Yes,Priekšējais elkoņbalsts,Yes (3Y/0M/0N),Priekšējais elkoņbalsts,"The text mentions ""Priekšējais elkoņbalsts,"" confirming the presence of a front armrest, which is part of the central console.; The specification text mentions a front armrest, which is part of the central console.; The text mentions a front armrest, which is part of the central console.",☑
NR59,Automātiski tumšojams salona spogulis,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Automātiski tumšojams salona spogulis"" or an automatically dimming interior mirror.; The specification text does not mention an automatically dimming interior mirror.; The specification text does not mention ""Automātiski tumšojams salona spogulis"".",☐
NR60,12 V bagāžas nodalījumā,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""12 V bagāžas nodalījumā"" or a 12V socket in the luggage compartment.; There is no mention of a 12V socket in the luggage compartment in the specification text.; There is no mention of ""12 V bagāžas nodalījumā"" in the specification text.",☐
NR61,Bezvadu uzlāde,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Bezvadu uzlāde"" or wireless charging.; The specification text does not mention wireless charging.; The specification text does not mention ""Bezvadu uzlāde"".",☐
NR62,Interjers – In Car Entertainment/Komunikācijas,Y,,,,,,,,
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 7,9""",N,Yes,"7"" krāsains modernais autovadītāja braukšanas palīgsistēmu (ADAD) displejs mērinstrumentu panelī",Yes,"12,3"" skārienekrāns",Yes (3Y/0M/0N),"12,3"" skārienekrāns","The text mentions ""12,3"" skārienekrāns,"" confirming a multifunctional touchscreen in the specified size range.; The specification text mentions a 12.3"" touchscreen, which falls within the 6 - 7.9"" range.; The text mentions a 12.3"" touchscreen, which falls within the range of 6 - 7.9"".",☑
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 9,9""",N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention a multifunctional touchscreen in the ""8 - 9,9"" size range.; The specification text does not mention a touchscreen within the 8 - 9.9"" range.; The specification text does not mention a touchscreen within the range of 8 - 9.9"".",☐
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 11,9""",N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention a multifunctional touchscreen in the ""10 - 11,9"" size range.; The specification text does not mention a touchscreen within the 10 - 11.9"" range.; There is no mention of a touchscreen within the range of 10 - 11.9"" in the specification text.",☐
NR66,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,N,Yes,"12,3"" skārienekrāns",No,,Maybe (2Y/0M/1N),"12,3"" skārienekrāns","The text mentions ""12,3"" skārienekrāns,"" confirming a multifunctional touchscreen in the specified size range.; The specification text mentions a 12.3"" touchscreen, which falls within the 12+"" range.; The specification text does not mention a touchscreen within the range of 12 - "".",☑
NR67,Zīmola audio sistēma,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention a ""Zīmola audio sistēma"" or branded audio system.; There is no mention of a brand-specific audio system in the specification text.; There is no mention of a ""Zīmola audio sistēma"" in the specification text.",☐
NR68,Navigācijas centrs,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention a ""Navigācijas centrs"" or navigation center.; The specification text does not mention a navigation center.; The specification text does not mention a ""Navigācijas centrs"".",☐
NR69,Navigācijas centrs - savienots,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention a ""Navigācijas centrs - savienots"" or connected navigation center.; The specification text does not mention a connected navigation center.; There is no mention of a ""Navigācijas centrs - savienots"" in the specification text.",☐
NR70,Android Auto un Apple CarPlay,N,Yes,Bezvadu Apple Car Play,Yes,Bezvadu Apple Car Play 3) Bezvadu Android Auto,Maybe (2Y/1M/0N),Bezvadu Apple Car Play 3) Bezvadu Android Auto,"The text mentions ""Bezvadu Apple Car Play"" and ""Bezvadu Android Auto,"" which implies the presence of Android Auto and Apple CarPlay, but not explicitly as a combined feature.; The specification text mentions both wireless Apple CarPlay and Android Auto.; The text mentions both Android Auto and Apple CarPlay.",☑
NR71,Android Auto un Apple CarPlay - bezvadu,N,Yes,Bezvadu Apple Car Play,Yes,Bezvadu Apple Car Play 3) Bezvadu Android Auto,Yes (3Y/0M/0N),Bezvadu Apple Car Play 3) Bezvadu Android Auto,"The text explicitly mentions ""Bezvadu Apple Car Play"" and ""Bezvadu Android Auto,"" confirming wireless Android Auto and Apple CarPlay.; The specification text specifies wireless versions of both Apple CarPlay and Android Auto.; The text mentions wireless Android Auto and Apple CarPlay.",☑
NR72,Vieds palīgs ar AI,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention a ""Vieds palīgs ar AI"" or smart assistant with AI.; There is no mention of a smart assistant with AI in the specification text.; The specification text does not mention a ""Vieds palīgs ar AI"".",☐
NR73,Avārijas zvans,N,Yes,Ārkārtas un avārijas izsaukums (e Call),Yes,Ārkārtas un avārijas izsaukums (e Call),Yes (3Y/0M/0N),Ārkārtas un avārijas izsaukums (e Call),"The text explicitly mentions ""Ārkārtas un avārijas izsaukums (e Call),"" confirming an emergency call feature.; The specification text mentions an emergency and breakdown call (e Call).; The text mentions an emergency call feature.",☑
NR74,Head - Up displejs,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention a ""Head - Up displejs"" or head-up display.; There is no mention of a head-up display in the specification text.; There is no mention of a ""Head - Up displejs"" in the specification text.",☐
NR75,Salons -  Instrumenti/Vadības Elementi,Y,,,,,,,,
NR76,Apsildāms stūres rats,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention an ""Apsildāms stūres rats"" or heated steering wheel.; The specification text does not mention a heated steering wheel.; The specification text does not mention an ""Apsildāms stūres rats"".",☐
NR77,Ādas (ieskaitot Sensico) stūres rats,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention an ""Ādas (ieskaitot Sensico) stūres rats"" or leather steering wheel.; There is no mention of a leather steering wheel in the specification text.; There is no mention of an ""Ādas (ieskaitot Sensico) stūres rats"" in the specification text.",☐
NR78,"Digitālais displejs - 8,9 collas",N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention a ""Digitālais displejs - 8,9 collas"" or digital display of that size.; The specification text does not mention a digital display within the 8.9-inch range.; The specification text does not mention a digital display of 8.9 inches.",☐
NR79,"Digitālais displejs 9“ - 11,9”",N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention a ""Digitālais displejs 9“ - 11,9”"" or digital display of that size.; The specification text does not mention a digital display within the 9"" - 11.9"" range.; There is no mention of a digital display within the range of 9"" - 11.9"" in the specification text.",☐
NR80,"Digitālais displejs 12+""",N,No,,No,,Yes (3Y/0M/0N),"12,3"" skārienekrāns","The text mentions ""12,3"" skārienekrāns,"" which can be considered a digital display of 12+ inches.; The specification text mentions a 12.3"" touchscreen, which implies a digital display of 12+"".; The text mentions a 7"" color modern driver assistance system display, which is not within the range of 12+"".",☑
NR81,Interjers -  Sēdekļi,Y,,,,,,,,
NR82,Apsildāms vadītāja sēdeklis,N,Yes,Apsildāmi priekšējie sēdekļi,Yes,Apsildāmi priekšējie sēdekļi,Yes (3Y/0M/0N),Apsildāmi priekšējie sēdekļi,"The text explicitly mentions ""Apsildāmi priekšējie sēdekļi,"" confirming heated front seats, which includes the driver's seat.; The specification text mentions heated front seats, which includes the driver's seat.; The text mentions heated front seats, which includes the driver's seat.",☑
NR83,Apsildāms pasažiera sēdeklis,N,Yes,Apsildāmi priekšējie sēdekļi,Yes,Apsildāmi priekšējie sēdekļi,Yes (3Y/0M/0N),Apsildāmi priekšējie sēdekļi,"The text explicitly mentions ""Apsildāmi priekšējie sēdekļi,"" confirming heated front seats, which includes the passenger seat.; The specification text mentions heated front seats, which includes the passenger's seat.; The text mentions heated front seats, which includes the passenger's seat.",☑
NR84,Apsildāmi aizmugurējie sēdekļi,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Apsildāmi aizmugurējie sēdekļi"" or heated rear seats.; The specification text does not mention heated rear seats.; The specification text does not mention ""Apsildāmi aizmugurējie sēdekļi"".",☐
NR85,Vadītāja sēdekļa jostasvietas regulēšana manuāli,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Vadītāja sēdekļa jostasvietas regulēšana manuāli"" or manual lumbar adjustment for the driver's seat.; There is no mention of manual lumbar adjustment for the driver's seat in the specification text.; There is no mention of ""Vadītāja sēdekļa jostasvietas regulēšana manuāli"" in the specification text.",☐
NR86,Pasažiera sēdekļa jostasvietas regulēšana manuāli,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Pasažiera sēdekļa jostasvietas regulēšana manuāli"" or manual lumbar adjustment for the passenger's seat.; There is no mention of manual lumbar adjustment for the passenger's seat in the specification text.; The specification text does not mention ""Pasažiera sēdekļa jostasvietas regulēšana manuāli"".",☐
NR87,Vadītāja sēdekļa jostasvietas regulēšana elektriski,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Vadītāja sēdekļa jostasvietas regulēšana elektriski"" or electric lumbar adjustment for the driver's seat.; There is no mention of electric lumbar adjustment for the driver's seat in the specification text.; There is no mention of ""Vadītāja sēdekļa jostasvietas regulēšana elektriski"" in the specification text.",☐
NR88,Pasažiera sēdekļa jostasvietas regulēšana elektriski,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Pasažiera sēdekļa jostasvietas regulēšana elektriski"" or electric lumbar adjustment for the passenger's seat.; There is no mention of electric lumbar adjustment for the passenger's seat in the specification text.; The specification text does not mention ""Pasažiera sēdekļa jostasvietas regulēšana elektriski"".",☐
NR89,Elektriski regulējams vadītāja sēdeklis,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Elektriski regulējams vadītāja sēdeklis"" or electrically adjustable driver's seat.; The specification text does not mention an electrically adjustable driver's seat.; There is no mention of ""Elektriski regulējams vadītāja sēdeklis"" in the specification text.",☐
NR90,Elektriski regulējams pasažiera sēdeklis,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Elektriski regulējams pasažiera sēdeklis"" or electrically adjustable passenger seat.; The specification text does not mention an electrically adjustable passenger's seat.; The specification text does not mention ""Elektriski regulējams pasažiera sēdeklis"".",☐
NR91,Elektriski regulējams vadītāja sēdeklis ar atmiņu,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Elektriski regulējams vadītāja sēdeklis ar atmiņu"" or electrically adjustable driver's seat with memory.; There is no mention of an electrically adjustable driver's seat with memory in the specification text.; There is no mention of ""Elektriski regulējams vadītāja sēdeklis ar atmiņu"" in the specification text.",☐
NR92,Elektriski regulējams pasažiera sēdeklis ar atmiņu,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Elektriski regulējams pasažiera sēdeklis ar atmiņu"" or electrically adjustable passenger seat with memory.; There is no mention of an electrically adjustable passenger's seat with memory in the specification text.; The specification text does not mention ""Elektriski regulējams pasažiera sēdeklis ar atmiņu"".",☐
NR93,Sēdekļu apdare – audums/sintētiskā āda,N,Yes,Monoformas sporta stila sēdekļi ar melnu auduma apdari,Yes,Monoformas sporta stila sēdekļi ar melnu auduma apdari,Maybe (1Y/0M/2N),Monoformas sporta stila sēdekļi ar melnu auduma apdari,"The specification text does not mention ""Sēdekļu apdare – audums/sintētiskā āda"" or fabric/synthetic leather upholstery.; The specification text mentions seats with black fabric upholstery.; There is no mention of ""Sēdekļu apdare – audums/sintētiskā āda"" in the specification text.",☑
NR94,Sēdekļu apdare – Alcantara/sintētiskā āda,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Sēdekļu apdare – Alcantara/sintētiskā āda"" or Alcantara/synthetic leather upholstery.; There is no mention of Alcantara/synthetic leather upholstery in the specification text.; The specification text does not mention ""Sēdekļu apdare – Alcantara/sintētiskā āda"".",☐
NR95,Sēdekļu apdare – sintētiskā āda,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Sēdekļu apdare – sintētiskā āda"" or synthetic leather upholstery.; There is no mention of synthetic leather upholstery in the specification text.; There is no mention of ""Sēdekļu apdare – sintētiskā āda"" in the specification text.",☐
NR96,Interjers – Vadītāja Palīdzības Tehnoloģijas,Y,,,,,,,,
NR97,Automātiskā parkošanās sistēma,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Automātiskā parkošanās sistēma"" or automatic parking system.; The specification text does not mention an automatic parking system.; The specification text does not mention ""Automātiskā parkošanās sistēma"".",☐
NR98,Aklās zona uzraudzība,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Aklās zona uzraudzība"" or blind spot monitoring.; There is no mention of blind spot monitoring in the specification text.; There is no mention of ""Aklās zona uzraudzība"" in the specification text.",☐
NR99,Aklās zona uzraudzība ar šķērssatiksmes brīdinājumu,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Aklās zona uzraudzība ar šķērssatiksmes brīdinājumu"" or blind spot monitoring with cross traffic alert.; The specification text does not mention blind spot monitoring with cross-traffic alert.; The specification text does not mention ""Aklās zona uzraudzība ar šķērssatiksmes brīdinājumu"".",☐
NR100,Kruīza kontrole,N,Yes,Kruīza kontrole ar ātruma ierobežotāju,Yes,Kruīza kontrole ar ātruma ierobežotāju,Yes (3Y/0M/0N),Kruīza kontrole ar ātruma ierobežotāju,"The text explicitly mentions ""Kruīza kontrole ar ātruma ierobežotāju,"" confirming cruise control with a speed limiter.; The specification text mentions cruise control with a speed limiter.; The text mentions cruise control with a speed limiter.",☑
NR101,Kruīza kontrole - adaptīva,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Kruīza kontrole - adaptīva"" or adaptive cruise control.; The specification text does not mention adaptive cruise control.; The specification text does not mention ""Kruīza kontrole - adaptīva"".",☐
NR102,Kruīza kontrole - adaptīva Stop&Go,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Kruīza kontrole - adaptīva Stop&Go"" or adaptive cruise control with Stop&Go.; The specification text does not mention adaptive cruise control with Stop&Go.; There is no mention of ""Kruīza kontrole - adaptīva Stop&Go"" in the specification text.",☐
NR103,Kruīza kontrole - adaptīva satiksmes sastrēgumos,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Kruīza kontrole - adaptīva satiksmes sastrēgumos"" or adaptive cruise control in traffic jams.; The specification text does not mention adaptive cruise control for traffic jams.; The specification text does not mention ""Kruīza kontrole - adaptīva satiksmes sastrēgumos"".",☐
NR104,"Kruīza kontrole - adaptīva, balstīta uz navigācijas sistēmu",N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Kruīza kontrole - adaptīva, balstīta uz navigācijas sistēmu"" or adaptive cruise control based on a navigation system.; The specification text does not mention adaptive cruise control based on the navigation system.; There is no mention of ""Kruīza kontrole - adaptīva, balstīta uz navigācijas sistēmu"" in the specification text.",☐
NR105,Joslas centrēšnas un apdzīšanas palīgs,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Joslas centrēšnas un apdzīšanas palīgs"" or lane centering and overtaking assistant.; There is no mention of lane centering and overtaking assistance in the specification text.; The specification text does not mention ""Joslas centrēšnas un apdzīšanas palīgs"".",☐
NR106,Kamera - priekšējais 360° skats,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Kamera - priekšējais 360° skats"" or front 360° camera view.; The specification text does not mention a front 360° camera view.; There is no mention of ""Kamera - priekšējais 360° skats"" in the specification text.",☐
NR107,Kamera - aizmugurējais skats,N,Yes,Atpakaļskata kamera,Yes,Atpakaļskata kamera,Yes (3Y/0M/0N),Atpakaļskata kamera,"The text explicitly mentions ""Atpakaļskata kamera,"" confirming a rearview camera.; The specification text mentions a rearview camera.; The text mentions a rearview camera.",☑
NR108,Parkošanās palīgsistēma – priekšējie sensori,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Parkošanās palīgsistēma – priekšējie sensori"" or front parking sensors.; There is no mention of front parking sensors in the specification text.; The specification text does not mention ""Parkošanās palīgsistēma – priekšējie sensori"".",☐
NR109,Parkošanās palīgsistēma – aizmugurējie sensori,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Parkošanās palīgsistēma – aizmugurējie sensori"" or rear parking sensors.; There is no mention of rear parking sensors in the specification text.; There is no mention of ""Parkošanās palīgsistēma – aizmugurējie sensori"" in the specification text.",☐
NR110,Mehānika – Šasija,Y,,,,,,,,
NR111,AEBS ar gājēju un velosipēdistu atpazīšanu,N,Yes,Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,Yes,Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,Yes (3Y/0M/0N),Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,"The text explicitly mentions ""Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,"" confirming AEBS with pedestrian and cyclist detection.; The specification text mentions an intelligent emergency braking system with pedestrian and cyclist recognition.; The text mentions an intelligent emergency braking system with pedestrian and cyclist recognition.",☑
NR112,Sadursmes mīkstināšana –2. sadursme,N,No,,No,,No (0Y/0M/3N),,"The specification text does not mention ""Sadursmes mīkstināšana –2. sadursme"" or collision mitigation for a second collision.; There is no mention of collision mitigation for a second collision in the specification text.; The specification text does not mention ""Sadursmes mīkstināšana –2. sadursme"".",☐
NR113,Stāvbremze – elektriska,N,Yes,Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,Yes,Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,Yes (3Y/0M/0N),Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,"The text explicitly mentions ""Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,"" confirming an electric parking brake.; The specification text mentions an electronic handbrake with an automatic parking brake function.; The text mentions an electronic parking brake with an automatic parking brake function.",☑
NR114,Mehānika – Rati/Riepas,Y,,,,,,,,
