Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Include,Matching Text,LLM_Reason,Accepted
NR111,AEBS ar gājēju un velosipēdistu atpazīšanu,N,Yes,Y,Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,"The text explicitly mentions ""Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,"" confirming AEBS with pedestrian and cyclist detection.; The specification text mentions an intelligent emergency braking system with pedestrian and cyclist recognition.; The text mentions an intelligent emergency braking system with pedestrian and cyclist recognition.",X
NR112,Sadursmes mīkstināšana –2. sadursme,N,No,N,,"The specification text does not mention ""Sadursmes mīkstināšana –2. sadursme"" or collision mitigation for a second collision.; There is no mention of collision mitigation for a second collision in the specification text.; The specification text does not mention ""Sadursmes mīkstināšana –2. sadursme"".",
NR113,Stāvbremze – elektriska,N,Yes,Y,Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,"The text explicitly mentions ""Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,"" confirming an electric parking brake.; The specification text mentions an electronic handbrake with an automatic parking brake function.; The text mentions an electronic parking brake with an automatic parking brake function.",X
NR114,— MEHĀNIKA – RATI/RIEPAS —,Y,,,,,
NR115,"16"" tērauda rati",N,No,N,,"The specification text does not mention ""16"" tērauda rati"" or 16-inch steel wheels.; The specification text does not mention 16"" steel wheels.; The specification text does not mention ""16"" tērauda rati"".",
NR116,"16"" vieglmetāla rati",N,No,N,,"The specification text does not mention ""16"" vieglmetāla rati"" or 16-inch alloy wheels.; The specification text does not mention 16"" alloy wheels.; There is no mention of ""16"" vieglmetāla rati"" in the specification text.",
NR117,"17"" tērauda riteņi",N,Yes,Y,"17"" tērauda diski, Sakura","The text explicitly mentions ""17"" tērauda diski, Sakura,"" confirming 17-inch steel wheels.; The specification text mentions 17"" steel wheels.; The text mentions 17"" steel wheels.",X
NR118,"17"" vieglmetāla riteņi",N,No,N,,"The specification text does not mention ""17"" vieglmetāla riteņi"" or 17-inch alloy wheels.; The specification text does not mention 17"" alloy wheels.; The specification text does not mention ""17"" vieglmetāla riteņi"".",
NR119,"18"" tērauda riteņi",N,No,N,,"The specification text does not mention ""18"" tērauda riteņi"" or 18-inch steel wheels.; The specification text does not mention 18"" steel wheels.; There is no mention of ""18"" tērauda riteņi"" in the specification text.",
NR120,"18"" vieglmetāla riteņi",N,No,N,,"The specification text does not mention ""18"" vieglmetāla riteņi"" or 18-inch alloy wheels.; The specification text does not mention 18"" alloy wheels.; The specification text does not mention ""18"" vieglmetāla riteņi"".",
NR121,"19"" vieglmetāla riteņi",N,No,N,,"The specification text does not mention ""19"" vieglmetāla riteņi"" or 19-inch alloy wheels.; The specification text does not mention 19"" alloy wheels.; There is no mention of ""19"" vieglmetāla riteņi"" in the specification text.",
NR122,Rezerves ritenis,N,No,N,,"The specification text does not mention ""Rezerves ritenis"" or a spare wheel.; There is no mention of a spare wheel in the specification text.; The specification text does not mention ""Rezerves ritenis"".",
NR123,Riteņu pārsegi,N,No,N,,"The specification text does not mention ""Riteņu pārsegi"" or wheel covers.; The specification text does not mention wheel covers.; There is no mention of ""Riteņu pārsegi"" in the specification text.",
NR124,— DROŠĪBA UN AIZSARDZĪBA —,Y,,,,,
NR125,Gaisa spilveni – ceļgaliem vai centrā,N,No,N,,"The specification text does not mention ""Gaisa spilveni – ceļgaliem vai centrā"" or airbags for knees or center.; There is no mention of knee or center airbags in the specification text.; The specification text does not mention ""Gaisa spilveni – ceļgaliem vai centrā"".",
NR126,Gaisa spilveni – aizkari,N,Yes,Y,"Autovadītāja un pasažiera gaisa drošības spilveni, sānu un aizkarveida gaisa drošības spilveni","The text explicitly mentions ""aizkarveida gaisa drošības spilveni,"" confirming curtain airbags.; The specification text mentions curtain airbags.; The text mentions curtain airbags.",X
NR127,Gaisa spilveni – sānos,N,Yes,Y,"Autovadītāja un pasažiera gaisa drošības spilveni, sānu un aizkarveida gaisa drošības spilveni","The text explicitly mentions ""sānu gaisa drošības spilveni,"" confirming side airbags.; The specification text mentions side airbags.; The text mentions side airbags.",X
NR128,Signalizācija – perimetrs,N,No,N,,"The specification text does not mention ""Signalizācija – perimetrs"" or perimeter alarm.; There is no mention of perimeter alarm in the specification text.; The specification text does not mention ""Signalizācija – perimetrs"".",
NR129,Bezatslēgas iedarbināšana,N,No,N,,"The specification text does not mention ""Bezatslēgas iedarbināšana"" or keyless ignition.; The specification text does not mention keyless start.; There is no mention of ""Bezatslēgas iedarbināšana"" in the specification text.",
NR130,Bezatslēgas piekļuve,N,No,N,,"The specification text does not mention ""Bezatslēgas piekļuve"" or keyless entry.; The specification text does not mention keyless entry.; The specification text does not mention ""Bezatslēgas piekļuve"".",
NR131,— GARANTIJA —,Y,,,,,
NR132,Papildus garantija – 2 gadi,N,No,N,,"The specification text does not mention ""Papildus garantija – 2 gadi"" or an additional 2-year warranty.; There is no mention of an additional 2-year warranty in the specification text.; There is no mention of ""Papildus garantija – 2 gadi"" in the specification text.",
NR133,Papildus garantija – 3 gadi,N,No,Y,3 gadi,"The specification text does not mention ""Papildus garantija – 3 gadi"" or an additional 3-year warranty.; There is no mention of an additional 3-year warranty in the specification text.; The specification text does not mention ""Papildus garantija – 3 gadi"".",X
NR134,Papildus garantija – 4 gadi,N,No,N,,"The specification text does not mention ""Papildus garantija – 4 gadi"" or an additional 4-year warranty.; There is no mention of an additional 4-year warranty in the specification text.; There is no mention of ""Papildus garantija – 4 gadi"" in the specification text.",
