Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Include,Matching Text,LLM_Reason,Accepted
NR37,Stikls - tonēts ar privātuma aizsardzību aizmugurē,N,No,N,,"The specification text does not mention ""Stikls - tonēts ar privātuma aizsardzību aizmugurē"" or tinted glass with privacy protection at the rear.; The specification text does not mention tinted glass with privacy protection at the rear.; The specification text does not mention tinted glass with rear privacy protection.",
NR38,Sildāms vējstikls,N,No,N,,"The specification text does not mention ""Sildāms vējstikls"" or heated windshield.; The specification text does not mention a heated windshield.; The specification text does not mention a heated windshield.",
NR39,Bagāžnieka durvis - elektriski atveramas,N,No,N,,"The specification text does not mention ""Bagāžnieka durvis - elektriski atveramas"" or electrically opening trunk doors.; The specification text does not mention electrically operated trunk doors.; The specification text does not mention electrically opening trunk doors.",
NR40,Jumta sliedes,N,No,N,,"The specification text does not mention ""Jumta sliedes"" or roof rails.; The specification text does not mention roof rails.; The specification text does not mention roof rails.",
NR41,Panorāmas jumts,N,No,N,,"The specification text does not mention ""Panorāmas jumts"" or panoramic roof.; The specification text does not mention a panoramic roof.; The specification text does not mention a panoramic roof.",
NR42,— ĀRĒJAIS IZSKATS -  APGAISMOJUMS —,Y,,,,,
NR43,Dienas gaitas lukturi - LED,N,Yes,Y,LED dienas apgaismojuma lukturi,"The specification includes ""LED dienas apgaismojuma lukturi,"" which translates to LED daytime running lights.; The specification text mentions LED daytime running lights.; The specification text mentions LED daytime running lights.",X
NR44,Priekšējie miglas lukturi - LED,N,No,N,,"The specification text does not mention ""Priekšējie miglas lukturi - LED"" or LED front fog lights.; The specification text does not mention front LED fog lights.; The specification text does not mention LED front fog lights.",
NR45,Priekšējie miglas lukturi – LED integrēti,N,No,N,,"The specification text does not mention ""Priekšējie miglas lukturi – LED integrēti"" or integrated LED front fog lights.; The specification text does not mention front LED fog lights integrated.; The specification text does not mention LED integrated front fog lights.",
NR46,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana,N,Yes,Y,Inteliģentie automātiskie priekšējie lukturi,"The specification includes ""Inteliģentie automātiskie priekšējie lukturi,"" which translates to intelligent automatic headlights, indicating automatic control.; The specification text mentions intelligent automatic front lights, which implies automatic on/off control.; The specification text mentions intelligent automatic headlights, implying automatic on/off control.",X
NR47,Priekšējo lukturu vadība – automātiska ieslēgšana/izslēgšana un tālās/tuvās gaismas,N,No,N,,The specification text does not mention automatic headlight control with high/low beam switching.; The specification text does not mention automatic on/off and high/low beam control.; The specification text does not specifically mention automatic on/off and high/low beam control for headlights.,
NR48,Priekšējie lukturi – LED,N,Yes,Y,LED priekšējie lukturi,"The specification includes ""LED priekšējie lukturi,"" which translates to LED front lights.; The specification text mentions LED front lights.; The specification text mentions LED front headlights.",X
NR49,Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free,N,No,N,,"The specification text does not mention ""Priekšējie lukturi – adaptīvie LED bez Matrix vai Glare Free"" or adaptive LED headlights without Matrix or Glare Free.; The specification text does not mention adaptive LED headlights without Matrix or Glare Free.; The specification text does not mention adaptive LED headlights without Matrix or Glare Free.",
NR50,Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free,N,No,N,,"The specification text does not mention ""Priekšējie lukturi – adaptīvie LED ar Matrix vai Glare Free"" or adaptive LED headlights with Matrix or Glare Free.; The specification text does not mention adaptive LED headlights with Matrix or Glare Free.; The specification text does not mention adaptive LED headlights with Matrix or Glare Free.",
NR51,— INTERJERS – KOMFORTS/ĒRTĪBAS —,Y,,,,,
NR52,Gaisa kondicionētājs,N,Yes,Y,Automātiskā gaisa kondicionēšanas sistēma,"The specification includes ""Automātiskā gaisa kondicionēšanas sistēma,"" indicating the presence of air conditioning.; The specification text mentions an automatic air conditioning system.; The specification text mentions an automatic air conditioning system.",X
NR53,Gaisa kondicionētājs - EATC 1 zona,N,No,N,,"The specification text does not mention ""Gaisa kondicionētājs - EATC 1 zona"" or single-zone electronic automatic temperature control.; The specification text does not specify EATC 1 zone.; The specification text does not specify EATC 1 zone air conditioning.",
NR54,Gaisa kondicionētājs - EATC 2 zonas,N,No,N,,"The specification text does not mention ""Gaisa kondicionētājs - EATC 2 zonas"" or dual-zone electronic automatic temperature control.; The specification text does not specify EATC 2 zones.; The specification text does not specify EATC 2 zones air conditioning.",
NR55,Gaisa kondicionētājs - EATC 3 zonas,N,No,N,,"The specification text does not mention ""Gaisa kondicionētājs - EATC 3 zonas"" or three-zone electronic automatic temperature control.; The specification text does not specify EATC 3 zones.; The specification text does not specify EATC 3 zones air conditioning.",
NR56,Salona gaisa attīrītājs,N,No,N,,"The specification text does not mention ""Salona gaisa attīrītājs"" or cabin air purifier.; The specification text does not mention a cabin air purifier.; The specification text does not mention a cabin air purifier.",
NR57,Apgaismojums - salons ar daudzkrāsu LED,N,No,N,,"The specification text does not mention ""Apgaismojums - salons ar daudzkrāsu LED"" or multi-color LED interior lighting.; The specification text does not mention multi-color LED interior lighting.; The specification text does not mention multi-color LED interior lighting.",
NR58,Centrālā konsole ar roku balstu,N,Yes,Y,Priekšējais elkoņbalsts,"The specification includes ""Priekšējais elkoņbalsts,"" which translates to front armrest, indicating a central console with an armrest.; The specification text mentions a front armrest, which is part of the central console.; The specification text mentions a front armrest, which is part of the central console.",X
NR59,Automātiski tumšojams salona spogulis,N,No,N,,"The specification text does not mention ""Automātiski tumšojams salona spogulis"" or automatically dimming interior mirror.; The specification text does not mention an automatically dimming interior mirror.; The specification text does not mention an automatically dimming interior mirror.",
NR60,12 V bagāžas nodalījumā,N,No,N,,"The specification text does not mention ""12 V bagāžas nodalījumā"" or 12V outlet in the luggage compartment.; The specification text does not mention a 12V socket in the luggage compartment.; The specification text does not mention a 12V outlet in the luggage compartment.",
NR61,Bezvadu uzlāde,N,No,N,,"The specification text does not mention ""Bezvadu uzlāde"" or wireless charging.; The specification text does not mention wireless charging.; The specification text does not mention wireless charging.",
NR62,— INTERJERS – IN CAR ENTERTAINMENT/KOMUNIKĀCIJAS —,Y,,,,,
NR63,"Daudzfunkcionāls skārienjūtīgais ekrāns - 6 - 7,9""",N,Yes,Y,"7"" krāsains modernais autovadītāja braukšanas palīgsistēmu (ADAD) displejs mērinstrumentu panelī","The specification includes ""12,3"" skārienekrāns,"" which fits the range for a multi-functional touch screen of 12 inches or more.; The specification text mentions a 12.3"" touchscreen, which falls within the range of 6 - 7.9"".; The specification text mentions a 12.3"" touchscreen, which falls within the range of 6 - 7.9"".",X
NR64,"Daudzfunkcionāls skārienjūtīgais ekrāns - 8 - 9,9""",N,No,N,,"The specification text does not mention a multi-functional touch screen in the range of 8 - 9.9 inches.; The specification text does not mention a touchscreen within the range of 8 - 9.9"".; The specification text does not mention a multifunctional touchscreen within the range of 8 - 9.9"".",
NR65,"Daudzfunkcionāls skārienjūtīgais ekrāns - 10 - 11,9""",N,No,N,,"The specification text does not mention a multi-functional touch screen in the range of 10 - 11.9 inches.; The specification text does not mention a touchscreen within the range of 10 - 11.9"".; The specification text does not mention a multifunctional touchscreen within the range of 10 - 11.9"".",
NR66,"Daudzfunkcionāls skārienjūtīgais ekrāns - 12 - """,N,Yes,Y,"12,3"" skārienekrāns","The specification includes ""12,3"" skārienekrāns,"" which indicates a touch screen of 12 inches or more.; The specification text mentions a 12.3"" touchscreen, which is a multifunctional touchscreen.; The specification text mentions a 12.3"" touchscreen.",X
NR67,Zīmola audio sistēma,N,No,N,,"The specification text does not mention a ""Zīmola audio sistēma"" or branded audio system.; The specification text does not mention a branded audio system.; The specification text does not mention a branded audio system.",
NR68,Navigācijas centrs,N,No,N,,"The specification text does not mention a ""Navigācijas centrs"" or navigation center.; The specification text does not mention a navigation center.; The specification text does not mention a navigation center.",
NR69,Navigācijas centrs - savienots,N,No,N,,"The specification text does not mention a ""Navigācijas centrs - savienots"" or connected navigation center.; The specification text does not mention a connected navigation center.; The specification text does not mention a connected navigation center.",
NR70,Android Auto un Apple CarPlay,N,Yes,Y,Bezvadu Apple Car Play 3) Bezvadu Android Auto,"The specification mentions both ""Bezvadu Apple Car Play"" and ""Bezvadu Android Auto,"" indicating support for Android Auto and Apple CarPlay.; The specification text mentions wireless Android Auto and Apple CarPlay.; The specification text mentions both Android Auto and Apple CarPlay.",X
NR71,Android Auto un Apple CarPlay - bezvadu,N,Yes,Y,Bezvadu Apple Car Play 3) Bezvadu Android Auto,"The specification mentions ""Bezvadu Apple Car Play"" and ""Bezvadu Android Auto,"" indicating wireless support for both.; The specification text mentions wireless Android Auto and Apple CarPlay.; The specification text mentions wireless Android Auto and Apple CarPlay.",X
NR72,Vieds palīgs ar AI,N,No,N,,"The specification text does not mention a ""Vieds palīgs ar AI"" or smart assistant with AI.; The specification text does not mention an intelligent assistant with AI.; The specification text does not mention an intelligent assistant with AI.",
NR73,Avārijas zvans,N,Yes,Y,Ārkārtas un avārijas izsaukums (e Call),"The specification includes ""Ārkārtas un avārijas izsaukums (e Call),"" indicating an emergency call feature.; The specification text mentions an emergency call system.; The specification text mentions an emergency call feature.",X
NR74,Head - Up displejs,N,No,N,,"The specification text does not mention a ""Head - Up displejs"" or head-up display.; The specification text does not mention a head-up display.; The specification text does not mention a head-up display.",
NR75,— SALONS -  INSTRUMENTI/VADĪBAS ELEMENTI —,Y,,,,,
NR76,Apsildāms stūres rats,N,No,N,,"The specification text does not mention an ""Apsildāms stūres rats"" or heated steering wheel.; The specification text does not mention a heated steering wheel.; The specification text does not mention a heated steering wheel.",
NR77,Ādas (ieskaitot Sensico) stūres rats,N,No,N,,"The specification text does not mention an ""Ādas (ieskaitot Sensico) stūres rats"" or leather steering wheel.; The specification text does not mention a leather steering wheel, including Sensico.; The specification text does not mention a leather steering wheel.",
NR78,"Digitālais displejs - 8,9 collas",N,No,N,,"The specification text does not mention a ""Digitālais displejs - 8,9 collas"" or digital display of 8.9 inches.; The specification text does not mention a digital display of 8.9 inches.; The specification text does not mention a digital display of 8.9 inches.",
NR79,"Digitālais displejs 9“ - 11,9”",N,No,N,,"The specification text does not mention a ""Digitālais displejs 9“ - 11,9”"" or digital display in the range of 9 to 11.9 inches.; The specification text does not mention a digital display within the range of 9"" - 11.9"".; The specification text does not mention a digital display between 9"" - 11.9"".",
NR80,"Digitālais displejs 12+""",N,Maybe,Y,"7"" krāsains modernais autovadītāja braukšanas palīgsistēmu (ADAD) displejs mērinstrumentu panelī","The specification mentions a ""12,3"" skārienekrāns,"" indicating a digital display of 12 inches or more.; The specification text does not mention a digital display of 12+ inches.; The specification text mentions a digital display over 12 inches.",X
NR81,— INTERJERS -  SĒDEKĻI —,Y,,,,,
NR82,Apsildāms vadītāja sēdeklis,N,Yes,Y,Apsildāmi priekšējie sēdekļi,"The specification includes ""Apsildāmi priekšējie sēdekļi,"" indicating heated front seats, which includes the driver's seat.; The specification text mentions heated front seats, which includes the driver's seat.; The specification text mentions heated front seats.",X
NR83,Apsildāms pasažiera sēdeklis,N,Yes,Y,Apsildāmi priekšējie sēdekļi,"The specification includes ""Apsildāmi priekšējie sēdekļi,"" indicating heated front seats, which includes the passenger seat.; The specification text mentions heated front seats, which includes the passenger seat.; The specification text mentions heated front seats.",X
NR84,Apsildāmi aizmugurējie sēdekļi,N,No,N,,"The specification text does not mention ""Apsildāmi aizmugurējie sēdekļi"" or heated rear seats.; The specification text does not mention heated rear seats.; The specification text does not mention heated rear seats.",
NR85,Vadītāja sēdekļa jostasvietas regulēšana manuāli,N,No,N,,"The specification text does not mention ""Vadītāja sēdekļa jostasvietas regulēšana manuāli"" or manual lumbar adjustment for the driver's seat.; The specification text does not mention manual lumbar adjustment for the driver's seat.; The specification text does not mention manual lumbar adjustment for the driver's seat.",
NR86,Pasažiera sēdekļa jostasvietas regulēšana manuāli,N,No,N,,"The specification text does not mention ""Pasažiera sēdekļa jostasvietas regulēšana manuāli"" or manual lumbar adjustment for the passenger's seat.; The specification text does not mention manual lumbar adjustment for the passenger seat.; The specification text does not mention manual lumbar adjustment for the passenger seat.",
NR87,Vadītāja sēdekļa jostasvietas regulēšana elektriski,N,No,N,,"The specification text does not mention ""Vadītāja sēdekļa jostasvietas regulēšana elektriski"" or electric lumbar adjustment for the driver's seat.; The specification text does not mention electric lumbar adjustment for the driver's seat.; The specification text does not mention electric lumbar adjustment for the driver's seat.",
NR88,Pasažiera sēdekļa jostasvietas regulēšana elektriski,N,No,N,,"The specification text does not mention ""Pasažiera sēdekļa jostasvietas regulēšana elektriski"" or electric lumbar adjustment for the passenger's seat.; The specification text does not mention electric lumbar adjustment for the passenger seat.; The specification text does not mention electric lumbar adjustment for the passenger seat.",
NR89,Elektriski regulējams vadītāja sēdeklis,N,No,N,,"The specification text does not mention ""Elektriski regulējams vadītāja sēdeklis"" or electrically adjustable driver's seat.; The specification text does not mention an electrically adjustable driver's seat.; The specification text does not mention an electrically adjustable driver's seat.",
NR90,Elektriski regulējams pasažiera sēdeklis,N,No,N,,"The specification text does not mention ""Elektriski regulējams pasažiera sēdeklis"" or electrically adjustable passenger seat.; The specification text does not mention an electrically adjustable passenger seat.; The specification text does not mention an electrically adjustable passenger seat.",
NR91,Elektriski regulējams vadītāja sēdeklis ar atmiņu,N,No,N,,"The specification text does not mention ""Elektriski regulējams vadītāja sēdeklis ar atmiņu"" or electrically adjustable driver's seat with memory.; The specification text does not mention an electrically adjustable driver's seat with memory.; The specification text does not mention an electrically adjustable driver's seat with memory.",
NR92,Elektriski regulējams pasažiera sēdeklis ar atmiņu,N,No,N,,"The specification text does not mention ""Elektriski regulējams pasažiera sēdeklis ar atmiņu"" or electrically adjustable passenger seat with memory.; The specification text does not mention an electrically adjustable passenger seat with memory.; The specification text does not mention an electrically adjustable passenger seat with memory.",
NR93,Sēdekļu apdare – audums/sintētiskā āda,N,No,Y,Monoformas sporta stila sēdekļi ar melnu auduma apdari,"The specification text does not mention ""Sēdekļu apdare – audums/sintētiskā āda"" or fabric/synthetic leather upholstery.; The specification text does not mention seat upholstery in fabric/synthetic leather.; The specification text does not mention fabric/synthetic leather upholstery.",X
NR94,Sēdekļu apdare – Alcantara/sintētiskā āda,N,No,N,,"The specification text does not mention ""Sēdekļu apdare – Alcantara/sintētiskā āda"" or Alcantara/synthetic leather upholstery.; The specification text does not mention seat upholstery in Alcantara/synthetic leather.; The specification text does not mention Alcantara/synthetic leather upholstery.",
NR95,Sēdekļu apdare – sintētiskā āda,N,No,N,,"The specification text does not mention ""Sēdekļu apdare – sintētiskā āda"" or synthetic leather upholstery.; The specification text does not mention seat upholstery in synthetic leather.; The specification text does not mention synthetic leather upholstery.",
NR96,— INTERJERS – VADĪTĀJA PALĪDZĪBAS TEHNOLOĢIJAS —,Y,,,,,
NR97,Automātiskā parkošanās sistēma,N,No,N,,"The specification text does not mention ""Automātiskā parkošanās sistēma"" or automatic parking system.; The specification text does not mention an automatic parking system.; The specification text does not mention an automatic parking system.",
NR98,Aklās zona uzraudzība,N,No,N,,"The specification text does not mention ""Aklās zona uzraudzība"" or blind spot monitoring.; The specification text does not mention blind spot monitoring.; The specification text does not mention blind spot monitoring.",
NR99,Aklās zona uzraudzība ar šķērssatiksmes brīdinājumu,N,No,N,,"The specification text does not mention ""Aklās zona uzraudzība ar šķērssatiksmes brīdinājumu"" or blind spot monitoring with cross-traffic alert.; The specification text does not mention blind spot monitoring with cross-traffic alert.; The specification text does not mention blind spot monitoring with cross-traffic alert.",
NR100,Kruīza kontrole,N,Yes,Y,Kruīza kontrole ar ātruma ierobežotāju,"The specification includes ""Kruīza kontrole ar ātruma ierobežotāju,"" indicating cruise control with a speed limiter.; The specification text mentions cruise control with a speed limiter.; The specification text mentions cruise control with a speed limiter.",X
NR101,Kruīza kontrole - adaptīva,N,No,N,,"The specification text does not mention ""Kruīza kontrole - adaptīva"" or adaptive cruise control.; The specification text does not mention adaptive cruise control.; The specification text does not mention adaptive cruise control.",
NR102,Kruīza kontrole - adaptīva Stop&Go,N,No,N,,"The specification text does not mention ""Kruīza kontrole - adaptīva Stop&Go"" or adaptive cruise control with Stop&Go.; The specification text does not mention adaptive cruise control with Stop&Go.; The specification text does not mention adaptive cruise control with Stop&Go.",
NR103,Kruīza kontrole - adaptīva satiksmes sastrēgumos,N,No,N,,"The specification text does not mention ""Kruīza kontrole - adaptīva satiksmes sastrēgumos"" or adaptive cruise control in traffic jams.; The specification text does not mention adaptive cruise control in traffic jams.; The specification text does not mention adaptive cruise control in traffic jams.",
NR104,"Kruīza kontrole - adaptīva, balstīta uz navigācijas sistēmu",N,No,N,,"The specification text does not mention ""Kruīza kontrole - adaptīva, balstīta uz navigācijas sistēmu"" or adaptive cruise control based on the navigation system.; The specification text does not mention adaptive cruise control based on a navigation system.; The specification text does not mention adaptive cruise control based on the navigation system.",
NR105,Joslas centrēšnas un apdzīšanas palīgs,N,No,N,,"The specification text does not mention ""Joslas centrēšnas un apdzīšanas palīgs"" or lane centering and overtaking assist.; The specification text does not mention lane centering and overtaking assistance.; The specification text does not mention lane centering and overtaking assistance.",
NR106,Kamera - priekšējais 360° skats,N,No,N,,"The specification text does not mention ""Kamera - priekšējais 360° skats"" or front 360° camera view.; The specification text does not mention a front 360° camera view.; The specification text does not mention a front 360° camera view.",
NR107,Kamera - aizmugurējais skats,N,Yes,Y,Atpakaļskata kamera,"The specification includes ""Atpakaļskata kamera,"" which translates to a rearview camera.; The specification text mentions a rearview camera.; The specification text mentions a rearview camera.",X
NR108,Parkošanās palīgsistēma – priekšējie sensori,N,No,N,,"The specification text does not mention ""Parkošanās palīgsistēma – priekšējie sensori"" or parking assistance with front sensors.; The specification text does not mention a parking assistant with front sensors.; The specification text does not mention front parking sensors.",
NR109,Parkošanās palīgsistēma – aizmugurējie sensori,N,No,N,,"The specification text does not mention ""Parkošanās palīgsistēma – aizmugurējie sensori"" or parking assistance with rear sensors.; The specification text does not mention a parking assistant with rear sensors.; The specification text does not mention rear parking sensors.",
NR110,— MEHĀNIKA – ŠASIJA —,Y,,,,,
NR111,AEBS ar gājēju un velosipēdistu atpazīšanu,N,Yes,Y,Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,"The specification includes ""Inteliģentā ārkārtas bremzēšanas sistēma ar gājēju un riteņbraucēju atpazīšanas funkciju,"" which translates to intelligent emergency braking system with pedestrian and cyclist recognition.; The specification text mentions an intelligent emergency braking system with pedestrian and cyclist recognition.; The specification text mentions an intelligent emergency braking system with pedestrian and cyclist recognition.",X
NR112,Sadursmes mīkstināšana –2. sadursme,N,No,N,,"The specification text does not mention ""Sadursmes mīkstināšana –2. sadursme"" or collision mitigation for a second collision.; The specification text does not mention collision mitigation for a second collision.; The specification text does not mention collision mitigation for a second collision.",
NR113,Stāvbremze – elektriska,N,Yes,Y,Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,"The specification includes ""Elektroniska rokas bremze ar automātiskās stāvbremzes funkciju,"" which translates to an electronic parking brake with automatic hold function.; The specification text mentions an electronic parking brake.; The specification text mentions an electronic parking brake.",X
NR114,— MEHĀNIKA – RATI/RIEPAS —,Y,,,,,
NR115,"16"" tērauda rati",N,No,N,,"The specification text does not mention ""16"" tērauda rati"" or 16-inch steel wheels.; The specification text does not mention 16"" steel wheels.; The specification text does not mention 16"" steel wheels.",
NR116,"16"" vieglmetāla rati",N,No,N,,"The specification text does not mention ""16"" vieglmetāla rati"" or 16-inch alloy wheels.; The specification text does not mention 16"" alloy wheels.; The specification text does not mention 16"" alloy wheels.",
NR117,"17"" tērauda riteņi",N,Yes,Y,"17"" tērauda diski, Sakura","The specification includes ""17"" tērauda diski, Sakura,"" indicating 17-inch steel wheels.; The specification text mentions 17"" steel wheels.; The specification text mentions 17"" steel wheels.",X
NR118,"17"" vieglmetāla riteņi",N,No,N,,"The specification text does not mention ""17"" vieglmetāla riteņi"" or 17-inch alloy wheels.; The specification text does not mention 17"" alloy wheels.; The specification text does not mention 17"" alloy wheels.",
NR119,"18"" tērauda riteņi",N,No,N,,"The specification text does not mention ""18"" tērauda rati"" or 18-inch steel wheels.; The specification text does not mention 18"" steel wheels.; The specification text does not mention 18"" steel wheels.",
NR120,"18"" vieglmetāla riteņi",N,No,N,,"The specification text does not mention ""18"" vieglmetāla rati"" or 18-inch alloy wheels.; The specification text does not mention 18"" alloy wheels.; The specification text does not mention 18"" alloy wheels.",
NR121,"19"" vieglmetāla riteņi",N,No,N,,"The specification text does not mention ""19"" vieglmetāla rati"" or 19-inch alloy wheels.; The specification text does not mention 19"" alloy wheels.; The specification text does not mention 19"" alloy wheels.",
NR122,Rezerves ritenis,N,No,N,,"The specification text does not mention ""Rezerves ritenis"" or spare wheel.; The specification text does not mention a spare wheel.; The specification text does not mention a spare wheel.",
NR123,Riteņu pārsegi,N,No,N,,"The specification text does not mention ""Riteņu pārsegi"" or wheel covers.; The specification text does not mention wheel covers.; The specification text does not mention wheel covers.",
NR124,— DROŠĪBA UN AIZSARDZĪBA —,Y,,,,,
NR125,Gaisa spilveni – ceļgaliem vai centrā,N,No,N,,"The specification text does not mention ""Gaisa spilveni – ceļgaliem vai centrā"" or airbags for knees or center.; The specification text does not mention airbags for knees or center.; The specification text does not mention knee or center airbags.",
NR126,Gaisa spilveni – aizkari,N,Yes,Y,"Autovadītāja un pasažiera gaisa drošības spilveni, sānu un aizkarveida gaisa drošības spilveni","The specification includes ""aizkarveida gaisa drošības spilveni,"" which translates to curtain airbags.; The specification text mentions curtain airbags.; The specification text mentions curtain airbags.",X
NR127,Gaisa spilveni – sānos,N,Yes,Y,"Autovadītāja un pasažiera gaisa drošības spilveni, sānu un aizkarveida gaisa drošības spilveni","The specification includes ""sānu un aizkarveida gaisa drošības spilveni,"" which translates to side airbags.; The specification text mentions side airbags.; The specification text mentions side airbags.",X
NR128,Signalizācija – perimetrs,N,No,N,,"The specification text does not mention ""Signalizācija – perimetrs"" or perimeter alarm.; The specification text does not mention perimeter alarm.; The specification text does not mention perimeter alarm.",
NR129,Bezatslēgas iedarbināšana,N,No,N,,"The specification text does not mention ""Bezatslēgas iedarbināšana"" or keyless ignition.; The specification text does not mention keyless start.; The specification text does not mention keyless start.",
NR130,Bezatslēgas piekļuve,N,No,N,,"The specification text does not mention ""Bezatslēgas piekļuve"" or keyless entry.; The specification text does not mention keyless entry.; The specification text does not mention keyless entry.",
NR131,— GARANTIJA —,Y,,,,,
NR132,Papildus garantija – 2 gadi,N,No,N,,"The specification text does not mention ""Papildus garantija – 2 gadi"" or additional 2-year warranty.; The specification text does not mention an additional 2-year warranty.; The specification text does not mention an additional 2-year warranty.",
NR133,Papildus garantija – 3 gadi,N,No,Y,3 gadi,"The specification text does not mention ""Papildus garantija – 3 gadi"" or additional 3-year warranty.; The specification text does not mention an additional 3-year warranty.; The specification text does not mention an additional 3-year warranty.",X
NR134,Papildus garantija – 4 gadi,N,No,N,,"The specification text does not mention ""Papildus garantija – 4 gadi"" or additional 4-year warranty.; The specification text does not mention an additional 4-year warranty.; The specification text does not mention an additional 4-year warranty.",
NR135,Papildus garantija – 5 gadi,N,No,N,,"The specification text does not mention ""Papildus garantija – 5 gadi"" or additional 5-year warranty.; The specification text does not mention an additional 5-year warranty.; The specification text does not mention an additional 5-year warranty.",
NR136,Papildus garantija – 6 gadi,N,No,N,,"The specification text does not mention ""Papildus garantija – 6 gadi"" or additional 6-year warranty.; The specification text does not mention an additional 6-year warranty.; The specification text does not mention an additional 6-year warranty.",
NR137,Papildus garantija – 7 gadi,N,No,N,,"The specification text does not mention ""Papildus garantija – 7 gadi"" or additional 7-year warranty.; The specification text does not mention an additional 7-year warranty.; The specification text does not mention an additional 7-year warranty.",
NR138,Papildus garantija – 10 gadi,N,No,N,,"The specification text does not mention ""Papildus garantija – 10 gadi"" or additional 10-year warranty.; The specification text does not mention an additional 10-year warranty.; The specification text does not mention an additional 10-year warranty.",
