Nr Code,Variable Name,Is TT,Match (Yes/No/Maybe),Matching Text,LLM_Reason
NR63,Salona gaisa attīrītājs,N,No,,No equivalent air purifier feature found
NR64,Apgaismojums - Interjers ar daudzkrāsu LED,N,No,,No equivalent interior LED lighting feature found
NR65,Centrālā konsole ar roku balstu,N,Yes,Front armrest with storage compartment,Matches central console with armrest
NR66,Automātiski tumšojams salona spogulis,N,Yes,Interior rearview mirror with automatic dimming,Matches automatically dimming interior mirror
NR67,12 V bagāžas nodalījumā,N,Yes,12V socket in the luggage compartment,Matches 12V socket in luggage compartment
NR68,Bezvadu uzlāde,N,No,,No equivalent wireless charging feature found
NR69,Interjers – In Car Entertainment/Komunikācijas,Y,,,
NR70,"Daudzfunkcionāls skārienjūtīgais ekrāns – 6–7,9 collas",N,No,,No equivalent touchscreen size feature found
NR71,"Daudzfunkcionāls skārienjūtīgais ekrāns – 8–9,9 collas",N,No,,No equivalent touchscreen size feature found
NR72,"Daudzfunkcionāls skārienjūtīgais ekrāns – 10–11,9 collas",N,No,,No equivalent touchscreen size feature found
NR73,"Daudzfunkcionāls skārienjūtīgais ekrāns – 12 collas """,N,Yes,"13"" touchscreen, voice control, Smart Link, digital radio, 2x USB-C ports",Matches 12+ inch touchscreen
NR74,Zīmola audio sistēma,N,No,,No equivalent branded audio system feature found
NR75,Navigācijas centrs,N,Yes,"""Infotainment Basic"" package: navigation system with ""Infotainment Online"" multimedia package 3-year subscription",Matches navigation center
NR76,Navigācijas centrs - savienots,N,Yes,"""Infotainment Basic"" package: navigation system with ""Infotainment Online"" multimedia package 3-year subscription",Matches connected navigation center
NR77,Android Auto un Apple CarPlay,N,Yes,"13"" touchscreen, voice control, Smart Link, digital radio, 2x USB-C ports",Matches Android Auto and Apple CarPlay
NR78,Android Auto un Apple CarPlay - bezvadu,N,No,,No equivalent wireless Android Auto and Apple CarPlay feature found
NR79,Vieds palīgs ar AI,N,No,,No equivalent smart assistant with AI feature found
NR80,Avārijas zvans,N,Yes,Emergency call function,Matches emergency call
NR81,Head - Up displejs,N,No,,No equivalent head-up display feature found
NR82,Interjers -  Instrumenti/Vadības Elementi,Y,,,
NR83,Apsildāms stūres rats,N,Yes,2-spoke multifunction leather steering wheel with heating,Matches heated steering wheel
NR84,Ādas (ieskaitot Sensico) stūres rats,N,Yes,2-spoke multifunction leather steering wheel with heating,Matches leather steering wheel
NR85,"Digitālais displejs – līdz 8,9 collām",N,No,,No equivalent digital display size feature found
NR86,"Digitālais displejs 9–11,9 collas",N,No,,No equivalent digital display size feature found
NR87,Digitālais displejs 12+ collas,N,No,,No equivalent digital display size feature found
NR88,Interjers – Sēdekļi,Y,,,
NR89,Apsildāms vadītāja sēdeklis,N,Yes,Front seat heating,Matches heated driver's seat
NR90,Apsildāms pasažiera sēdeklis,N,Yes,Front seat heating,Matches heated passenger seat
NR91,Apsildāmi aizmugurējie sēdekļi,N,No,,No equivalent heated rear seats feature found
NR92,Vadītāja sēdekļa jostasvietas regulēšana manuāli,N,No,,No equivalent manual lumbar adjustment feature found
NR93,Pasažiera sēdekļa jostasvietas regulēšana manuāli,N,No,,No equivalent manual lumbar adjustment feature found
NR94,Vadītāja sēdekļa jostasvietas regulēšana elektriski,N,No,,No equivalent electric lumbar adjustment feature found
NR95,Pasažiera sēdekļa jostasvietas regulēšana elektriski,N,No,,No equivalent electric lumbar adjustment feature found
NR96,Vadītāja sēdekļa regulēšana elektriski,N,No,,No equivalent electric seat adjustment feature found
NR97,Pasažiera sēdekļa regulēšana elektriski,N,No,,No equivalent electric seat adjustment feature found
NR98,Vadītāja sēdekļa regulēšana elektriski un ar atmiņu,N,No,,No equivalent electric seat adjustment with memory feature found
NR99,Pasažiera sēdekļa regulēšana elektriski un ar atmiņu,N,No,,No equivalent electric seat adjustment with memory feature found
NR100,Sēdekļu apdare – audums/sintētiskā āda,N,Yes,"Design package ""Loft"" (EO) : black/gray seat fabric/artificial leather upholstery, interior LED lighting package",Matches fabric/synthetic leather upholstery
NR101,Sēdekļu apdare – Alcantara/sintētiskā āda,N,No,,No equivalent Alcantara/synthetic leather upholstery feature found
NR102,Sēdekļu apdare – sintētiskā āda,N,No,,No equivalent synthetic leather upholstery feature found
NR103,Interjers – Vadītāja Palīdzības Tehnoloģijas,Y,,,
NR104,Automātiskā parkošanās sistēma,N,No,,No equivalent automatic parking system feature found
NR105,Aklās zonas uzraudzība,N,Yes,"Blind Spot Monitoring ""Side Assist"" monitors traffic around the vehicle within a 90m radius, alerting the driver of approaching vehicles",Matches blind spot monitoring
NR106,Aklās zonas uzraudzība ar šķērssatiksmes brīdinājumu,N,No,,No equivalent blind spot monitoring with cross-traffic alert feature found
NR107,Kruīza kontrole,N,No,,No equivalent cruise control feature found
NR108,Kruīza kontrole – adaptīvā,N,Yes,Adaptive Cruise Control,Matches adaptive cruise control
NR109,Kruīza kontrole – adaptīvā Stop&Go,N,No,,No equivalent adaptive cruise control Stop&Go feature found
NR110,Kruīza kontrole – adaptīvā satiksmes sastrēgumu gadījumā,N,No,,No equivalent adaptive cruise control in traffic jams feature found
NR111,"Kruīza kontrole – adaptīvā, balstīta uz navigācijas sistēmu",N,No,,No equivalent adaptive cruise control based on navigation feature found
NR112,Joslas centrēšanas un apdzīšanas palīgs,N,No,,No equivalent lane centering and overtaking assist feature found
NR113,Kamera – priekšā 360° skats,N,No,,No equivalent front 360° camera feature found
NR114,Kamera - aizmugurē 180° skats,N,Yes,Parking sensors front and rear with a rearview camera,Matches rear 180° camera
NR115,Parkošanās palīgsistēma - priekšējie sensori,N,Yes,Parking sensors front and rear with a rearview camera,Matches front parking sensors
NR116,Parkošanās palīgsistēma - aizmugurējie sensori,N,Yes,Parking sensors front and rear with a rearview camera,Matches rear parking sensors
NR117,Mehānika -  Šasija,Y,,,
NR118,AEBS ar gājēju un velosipēdistu atpazīšanu,N,Yes,"""Front Assist"" radar system: automatic speed reduction and complete stop in case of potential frontal collision, emergency city braking, pedestrian and cyclist monitoring system, and emergency steering support with turn assist",Matches AEBS with pedestrian and cyclist recognition
NR119,Sadursmes mīkstināšana – 2. sadursme,N,No,,No equivalent collision mitigation feature found
NR120,Stāvbremze - elektriska,N,Yes,"Electronic parking brake with ""Autohold"" function",Matches electric parking brake
NR121,Mehānika -  Riteņi/Riepas,Y,,,
NR122,"16"" tērauda riteņi",N,No,,"No equivalent 16"" steel wheels feature found"
NR123,"16"" vieglmetāla riteņi",N,No,,"No equivalent 16"" alloy wheels feature found"
NR124,"17"" tērauda riteņi",N,No,,"No equivalent 17"" steel wheels feature found"
NR125,"17"" vieglmetāla riteņi",N,No,,"No equivalent 17"" alloy wheels feature found"
NR126,"18"" tērauda riteņi",N,No,,"No equivalent 18"" steel wheels feature found"
NR127,"18"" vieglmetāla riteņi",N,No,,"No equivalent 18"" alloy wheels feature found"
NR128,"19"" vieglmetāla riteņi",N,Yes,"19"" alloy wheels PROTEUS with 235/55 tires in front and 255/50 R19in the rear","Matches 19"" alloy wheels"
NR129,Rezerves ritenis,N,No,,No equivalent spare wheel feature found
NR130,Riteņu pārsegi,N,No,,No equivalent wheel covers feature found
NR131,Drošība Un Aizsardzība,Y,,,
NR132,Gaisa spilveni – ceļgaliem vai centrā,N,Yes,Front side and central airbags,Matches knee or central airbags
NR133,Gaisa spilveni – aizkari,N,Yes,Head airbag system (curtains),Matches curtain airbags
NR134,Gaisa spilveni – sānos,N,Yes,Front side and central airbags,Matches side airbags
NR135,Signalizācija – perimetrs,N,Yes,Alarm system with interior protection and anti-tow protection,Matches perimeter alarm
NR136,Bezatslēgas iedarbināšana,N,Yes,Keyless access and engine start system (Kessy),Matches keyless start
NR137,Bezatslēgas piekļuve,N,Yes,Keyless access and engine start system (Kessy),Matches keyless access
NR138,Garantija,Y,,,
NR139,Pagarināta garantija – 2 gadi,N,No,,No equivalent extended warranty feature found
NR140,Pagarināta garantija – 3 gadi,N,No,,No equivalent extended warranty feature found
NR141,Pagarināta garantija – 4 gadi,N,No,,No equivalent extended warranty feature found
NR142,Pagarināta garantija – 5 gadi,N,Yes,"Manufacturer's warranty: 5 years with a 100,000km mileage limit",Matches 5-year extended warranty
NR143,Pagarināta garantija – 6 gadi,N,No,,No equivalent extended warranty feature found
NR144,Pagarināta garantija – 7 gadi,N,No,,No equivalent extended warranty feature found
NR145,Pagarināta garantija – 10 gadi,N,No,,No equivalent extended warranty feature found
